key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,1329000000,1590000000,1053000000,1484000000,1441000000
EquitySecuritiesFvNi,,0,0,91000000,
AccountsReceivableNetCurrent,1324000000,1291000000,1405000000,1172000000,
InventoryNet,972000000,1031000000,1038000000,830000000,
OtherAssetsCurrent,334000000,274000000,282000000,222000000,
AssetsCurrent,3959000000,4186000000,3778000000,3799000000,
PropertyPlantAndEquipmentNet,1778000000,1270000000,1100000000,945000000,
Goodwill,4477000000,3960000000,3952000000,3975000000,1738000000
IntangibleAssetsNetExcludingGoodwill,547000000,475000000,821000000,981000000,
LongTermInvestments,175000000,164000000,195000000,185000000,
OtherAssetsNoncurrent,910000000,708000000,686000000,820000000,
Assets,11846000000,10763000000,10532000000,10705000000,
AccountsPayableCurrent,540000000,418000000,580000000,446000000,
EmployeeRelatedLiabilitiesCurrent,368000000,371000000,455000000,493000000,
DeferredRevenueCurrent,544000000,505000000,461000000,441000000,
ShortTermBorrowings,45000000,0,36000000,0,
OtherLiabilitiesCurrent,398000000,309000000,329000000,328000000,
LiabilitiesCurrent,1895000000,1603000000,1861000000,1708000000,
LongTermDebt,3345000000,2735000000,2733000000,2729000000,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,130000000,103000000,97000000,220000000,
OtherLiabilitiesNoncurrent,578000000,477000000,536000000,659000000,
Liabilities,5948000000,4918000000,5227000000,5316000000,
PreferredStockValue,0,0,0,0,
CommonStockValue,3000000,3000000,3000000,3000000,
AdditionalPaidInCapital,5450000000,5387000000,5325000000,5320000000,
RetainedEarningsAccumulatedDeficit,750000000,782000000,324000000,348000000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-305000000,-327000000,-347000000,-282000000,-194000000
StockholdersEquity,5898000000,5845000000,5305000000,5389000000,3000000
LiabilitiesAndStockholdersEquity,11846000000,10763000000,10532000000,10705000000,
