key,2024,2023,2022,2021,2020
NetIncomeLoss,1289000000,1240000000,1254000000,1210000000,719000000
DepreciationDepletionAndAmortization,257000000,271000000,317000000,321000000,308000000
ShareBasedCompensation,129000000,111000000,125000000,110000000,83000000
DeferredIncomeTaxExpenseBenefit,-64000000,-56000000,8000000,14000000,29000000
InventoryWriteDown,45000000,40000000,24000000,29000000,28000000
ImpairmentOfIntangibleAssetsExcludingGoodwill,19000000,277000000,0,2000000,99000000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,0,1000000,-25000000,-21000000,0
EquitySecuritiesFvNiGainLoss,6000000,-41000000,-67000000,98000000,27000000
GainsLossesOnExtinguishmentOfDebt,0,0,-9000000,-17000000,0
OtherNoncashIncomeExpense,1000000,-6000000,-11000000,-3000000,-8000000
IncreaseDecreaseInAccountsReceivable,-7000000,-132000000,321000000,128000000,107000000
IncreaseDecreaseInInventories,-34000000,33000000,248000000,136000000,68000000
IncreaseDecreaseInAccountsPayable,103000000,-171000000,121000000,64000000,2000000
IncreaseDecreaseInEmployeeRelatedLiabilities,-12000000,-91000000,-22000000,112000000,29000000
IncreaseDecreaseInOtherOperatingCapitalNet,49000000,-47000000,8000000,14000000,182000000
NetCashProvidedByUsedInOperatingActivities,1751000000,1772000000,1312000000,1485000000,921000000
PaymentsToAcquirePropertyPlantAndEquipment,378000000,298000000,291000000,188000000,119000000
ProceedsFromSaleOfPropertyPlantAndEquipment,,0,0,1000000,1000000
ProceedsFromSaleOfEquitySecuritiesFvNi,0,5000000,22000000,12000000,0
PaymentsToAcquireEquitySecuritiesFvNi,5000000,8000000,13000000,22000000,20000000
PaymentsToAcquireNotesReceivable,13000000,12000000,4000000,5000000,9000000
PaymentsToAcquireBusinessesNetOfCashAcquired,862000000,51000000,52000000,547000000,0
NetCashProvidedByUsedInInvestingActivities,-1258000000,-310000000,-338000000,-749000000,-147000000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,77000000,67000000,58000000,55000000,60000000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,30000000,54000000,67000000,76000000,37000000
PaymentsForRepurchaseOfCommonStock,1150000000,575000000,1139000000,788000000,469000000
PaymentsOfDividendsCommonStock,274000000,265000000,250000000,236000000,222000000
ProceedsFromIssuanceOfSeniorLongTermDebt,,,600000000,848000000,499000000
PaymentsOfDebtIssuanceCosts,9000000,0,0,7000000,4000000
EarlyRepaymentOfSeniorDebt,,,609000000,417000000,0
ProceedsFromIssuanceOfCommercialPaper,,,1295000000,1647000000,420000000
RepaymentsOfCommercialPaper,,,1260000000,1722000000,345000000
FinanceLeasePrincipalPayments,,,0,0,4000000
ProceedsFromLinesOfCredit,,,0,0,798000000
RepaymentsOfLinesOfCredit,,,0,0,1413000000
NetCashProvidedByUsedInFinancingActivities,-752000000,-930000000,-1372000000,-696000000,-717000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-2000000,5000000,-36000000,3000000,2000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-261000000,537000000,-434000000,43000000,59000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1332000000,1593000000,1056000000,1490000000,1447000000
IncomeTaxesPaidNet,314000000,199000000,279000000,211000000,361000000
InterestPaidNet,80000000,89000000,85000000,76000000,71000000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,9000000,4000000,26000000,27000000,-1000000
GainLossOnSaleOfBusiness,0,43000000,0,0,
ProceedsFromSaleOfNotesReceivable,0,4000000,0,0,
ProceedsFromDivestitureOfBusinesses,0,50000000,0,0,
ProceedsFromIssuanceOfLongTermDebt,1197000000,0,600000000,848000000,
RepaymentsOfLongTermDebt,600000000,0,609000000,417000000,
ProceedsFromRepaymentsOfShortTermDebt,40000000,-35000000,35000000,-75000000,
PaymentForContingentConsiderationLiabilityFinancingActivities,0,68000000,0,0,
PaymentOfExciseTaxesRelatedToRepurchasesOfCommonStock,3000000,0,0,,
ShareRepurchaseProgramExciseTaxPayable,10000000,3000000,0,,
