key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,4672000000,5051000000,5187000000,4756000000,3993000000
CostOfGoodsAndServicesSold,2024000000,2428000000,2242000000,2078000000,1796000000
ResearchAndDevelopmentExpense,479000000,481000000,467000000,441000000,495000000
SellingGeneralAndAdministrativeExpense,1568000000,1634000000,1637000000,1619000000,1496000000
CostsAndExpenses,5022000000,5483000000,5230000000,4972000000,4493000000
OperatingIncomeLoss,1488000000,1350000000,1618000000,1347000000,846000000
InvestmentIncomeInterest,80000000,51000000,9000000,2000000,8000000
InterestExpense,96000000,95000000,84000000,81000000,78000000
OtherNonoperatingIncomeExpense,49000000,33000000,-39000000,92000000,66000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1521000000,1339000000,1504000000,1360000000,842000000
IncomeTaxExpenseBenefit,232000000,99000000,250000000,150000000,123000000
NetIncomeLoss,1289000000,1240000000,1254000000,1210000000,719000000
EarningsPerShareBasic,4.44,4.22,4.19,3.98,2.33
EarningsPerShareDiluted,4.43,4.19,4.18,3.94,2.30
WeightedAverageNumberOfSharesOutstandingBasic,290000000,294000000,299000000,304000000,309000000
WeightedAverageNumberOfDilutedSharesOutstanding,291000000,296000000,300000000,307000000,312000000
