key,2024-01-31,2023-10-31,2023-01-31,2022-10-31
CashAndCashEquivalentsAtCarryingValue,1748000000,1590000000,,
AccountsReceivableNetCurrent,1295000000,1291000000,,
InventoryNet,1033000000,1031000000,,
OtherAssetsCurrent,262000000,274000000,,
AssetsCurrent,4338000000,4186000000,,
PropertyPlantAndEquipmentNet,1314000000,1270000000,,
Goodwill,260000000,257000000,,
IntangibleAssetsNetExcludingGoodwill,19000000,21000000,,
LongTermInvestments,170000000,164000000,,
OtherAssetsNoncurrent,716000000,708000000,,
Assets,2899000000,2739000000,,
AccountsPayableCurrent,488000000,418000000,,
EmployeeRelatedLiabilitiesCurrent,272000000,371000000,,
DeferredRevenueCurrent,522000000,505000000,,
OtherAccruedLiabilitiesCurrentAndNoncurrent,335000000,309000000,,
LiabilitiesCurrent,1617000000,1603000000,,
LongTermDebt,2135000000,2135000000,,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,102000000,103000000,,
OtherLiabilitiesNoncurrent,486000000,477000000,,
Liabilities,4760000000,4918000000,,
CommitmentsAndContingencies,,,,
PreferredStockValue,0,0,,
CommonStockValue,3000000,3000000,,
AdditionalPaidInCapital,5440000000,5387000000,,
RetainedEarningsAccumulatedDeficit,1061000000,782000000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,8000000,17000000,,
StockholdersEquity,6188000000,5845000000,5609000000,5305000000
LiabilitiesAndStockholdersEquity,10948000000,10763000000,,
