key,2024-01-31,2023-10-31,2023-01-31,2022-10-31
RevenueFromContractWithCustomerExcludingAssessedTax,1028000000,,997000000,
CostOfGoodsAndServicesSold,750000000,,788000000,
ResearchAndDevelopmentExpense,128000000,,123000000,
SellingGeneralAndAdministrativeExpense,396000000,,419000000,
CostsAndExpenses,1274000000,,1330000000,
OperatingIncomeLoss,428000000,,476000000,
InvestmentIncomeInterest,18000000,,9000000,
InterestExpense,22000000,,25000000,
OtherNonoperatingIncomeExpense,23000000,,0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,403000000,,410000000,
IncomeTaxExpenseBenefit,55000000,,58000000,
NetIncomeLoss,348000000,,352000000,
EarningsPerShareBasic,1.19,,1.19,
EarningsPerShareDiluted,1.18,,1.19,
WeightedAverageNumberOfSharesOutstandingBasic,293000000,,296000000,
WeightedAverageNumberOfDilutedSharesOutstanding,294000000,,297000000,
