key,2025-01-31,2024-10-31,2024-01-31,2023-10-31
NetIncomeLoss,318000000,,348000000,
DepreciationDepletionAndAmortization,72000000,,62000000,
ShareBasedCompensation,40000000,,44000000,
DeferredIncomeTaxExpenseBenefit,-10000000,,0,
InventoryWriteDown,10000000,,11000000,
EquitySecuritiesFvNiGainLoss,1000000,,3000000,
AssetImpairmentCharges,0,,8000000,
OtherNoncashIncomeExpense,0,,6000000,
IncreaseDecreaseInAccountsReceivable,30000000,,-10000000,
IncreaseDecreaseInInventories,40000000,,9000000,
IncreaseDecreaseInAccountsPayable,3000000,,84000000,
IncreaseDecreaseInEmployeeRelatedLiabilities,-104000000,,-104000000,
IncreaseDecreaseInOtherOperatingCapitalNet,-173000000,,-40000000,
NetCashProvidedByUsedInOperatingActivities,431000000,,485000000,
PaymentsToAcquirePropertyPlantAndEquipment,97000000,,90000000,
PaymentsToAcquireNotesReceivable,1000000,,5000000,
PaymentsToAcquireBusinessesNetOfCashAcquired,-4000000,,0,
NetCashProvidedByUsedInInvestingActivities,-94000000,,-95000000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,30000000,,34000000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,22000000,,25000000,
PaymentsForRepurchaseOfCommonStock,90000000,,0,
PaymentsOfOrdinaryDividends,71000000,,69000000,
ProceedsFromIssuanceOfLongTermDebt,4000000,,0,
RepaymentsOfLongTermDebt,1000000,,180000000,
ProceedsFromRepaymentsOfShortTermDebt,-30000000,,0,
NetCashProvidedByUsedInFinancingActivities,-180000000,,-240000000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-19000000,,7000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,138000000,,157000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1470000000,1332000000,1750000000,1593000000
IncomeTaxesPaidNet,19000000,,24000000,
InterestPaidNet,3000000,,14000000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,8000000,,-16000000,
