key,2024,2023,2022,2021,2020
CashAndCashEquivalentsAtCarryingValue,373999000,409804000,345386000,346772000,1212822000
ReceivablesNetCurrent,948830000,1012932000,919335000,829213000,597472000
InventoryNet,1021713000,1132471000,1044284000,769175000,559171000
OtherAssetsCurrent,258490000,269461000,219053000,183605000,153005000
AssetsCurrent,2603032000,2824668000,2528058000,2128765000,2522470000
PropertyPlantAndEquipmentNet,818611000,891293000,635641000,617138000,526530000
OperatingLeaseRightOfUseAsset,235666000,229723000,170295000,169924000,167233000
Goodwill,6555877000,6447629000,5372562000,5238726000,4224906000
IntangibleAssetsNetExcludingGoodwill,3915173000,4165317000,3342085000,3368629000,2623719000
InvestmentsAndOtherNoncurrentAssets,502810000,464903000,382479000,375005000,292625000
Assets,14631169000,15023533000,12431120000,11898187000,10357483000
DebtCurrent,654346000,1417915000,226079000,315093000,132284000
AccountsPayableCurrent,523332000,516588000,497134000,470252000,360370000
ContractWithCustomerLiabilityCurrent,363555000,375513000,357674000,298728000,194633000
AccruedIncomeTaxesCurrent,84428000,69567000,48171000,35904000,38896000
AccruedLiabilitiesAndOtherLiabilities,472926000,502990000,435144000,443337000,349732000
LiabilitiesCurrent,2098587000,2882573000,1564202000,1563314000,1075915000
LongTermDebtNoncurrent,1425375000,1895432000,2158928000,2229148000,2281441000
DeferredIncomeTaxLiabilitiesNet,831030000,836695000,694267000,719675000,533478000
OtherLiabilitiesNoncurrent,620873000,678642000,537211000,514166000,517303000
Liabilities,4975865000,6293342000,4954608000,5026303000,4408137000
PreferredStockValue,0,0,0,0,0
CommonStockValue,2720000,2709000,2700000,2689000,2676000
AdditionalPaidInCapitalCommonStock,1264670000,1168694000,1094236000,1012526000,921752000
RetainedEarningsAccumulatedDeficit,11057684000,9940343000,8857485000,7900113000,7094656000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-555739000,-484942000,-574945000,-470444000,-504468000
TreasuryStockValue,2114031000,1896613000,1902964000,1573000000,1565270000
StockholdersEquity,9655304000,8730191000,7476512000,6871884000,5949346000
LiabilitiesAndStockholdersEquity,14631169000,15023533000,12431120000,11898187000,10357483000
