key,2024,2023,2022,2021,2020
ProfitLoss,1376124000,1313188000,1159542000,990053000,872439000
DepreciationAndAmortization,382927000,337636000,319427000,292112000,255275000
DeferredIncomeTaxesAndTaxCredits,-12943000,-91903000,-67818000,-29762000,1839000
ShareBasedCompensation,47863000,46199000,47375000,46103000,41565000
GainLossOnSaleOfBusiness,0,0,3584000,6349000,141020000
GainLossOnSaleOfFacilities,995000,120000,7054000,0,7523000
IncreaseDecreaseInReceivables,-53488000,-8451000,86713000,172791000,-163471000
IncreaseDecreaseInInventoriesAndOtherCurrentAssets,-72997000,-56619000,322467000,129593000,-77448000
IncreaseDecreaseInPayablesAccrualsAndIncomeTaxes,-18480000,10433000,95481000,212101000,7017000
IncreaseDecreaseInOtherNoncurrentLiabilities,-41332000,67283000,47226000,-35104000,20430000
PensionContributions,8694000,8671000,8959000,10277000,9527000
OtherNoncashIncomeExpense,22107000,3819000,23083000,-3964000,434000
NetCashProvidedByUsedInOperatingActivities,1828848000,1735296000,1149373000,1160457000,1280980000
PaymentsToAcquirePropertyPlantAndEquipment,127075000,136249000,139005000,110671000,74199000
PaymentsToAcquireBusinessesNetOfCashAcquired,117514000,2237910000,429714000,1959218000,116509000
ProceedsFromDivestitureOfBusinesses,0,0,3734000,12000000,245311000
ProceedsFromSaleOfFacilities,4246000,880000,11754000,2341000,9508000
PaymentsForProceedsFromOtherInvestingActivities,4465000,3151000,-471000,294000,2481000
NetCashProvidedByUsedInInvestingActivities,-244808000,-2376430000,-552760000,-2055842000,61630000
ProceedsFromRepaymentsOfShortTermDebt,-889737000,892282000,-73691000,243615000,-328003000
ProceedsFromIssuanceOfLongTermDebt,,,,,0
RepaymentsOfLongTermDebt,300000000,0,0,59718000,102947000
PaymentsForRepurchaseOfCommonStock,212027000,7772000,332821000,14711000,4685000
PaymentsOfDividendsCommonStock,258782000,230329000,202169000,184595000,165035000
PaymentsToAcquireBusinessContingentConsideration,,,,,0
ProceedsFromStockOptionsExercised,66868000,50850000,49937000,60297000,64903000
ProceedsFromPaymentsForOtherFinancingActivities,-8776000,-7748000,-16955000,-5551000,-3669000
NetCashProvidedByUsedInFinancingActivities,-1602454000,697283000,-575699000,39337000,-539436000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,16618000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-35805000,64418000,-1386000,-866050000,819792000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,373999000,409804000,345386000,346772000,1212822000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-17391000,8269000,-22300000,-10002000,16618000
