key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerIncludingAssessedTax,,6596950000,6150530000,5546514000,4540029000
CostOfGoodsAndServicesSold,4464713000,4212485000,4005261000,3633900000,2996515000
SellingGeneralAndAdministrativeExpense,696905000,677006000,644577000,603944000,515630000
CostsAndExpenses,5161618000,4889491000,4649838000,4237844000,3512145000
OperatingIncomeLoss,1779562000,1707459000,1500692000,1308670000,1027884000
InterestExpense,,81795000,83186000,80381000,86062000
OtherNonoperatingIncomeExpense,-5061000,-19252000,11186000,-5119000,140487000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1661539000,1606412000,1428692000,1223170000,1082309000
IncomeTaxExpenseBenefit,285415000,293224000,269150000,233117000,209870000
NetIncomeLoss,1376124000,1313188000,1159542000,990053000,872439000
EarningsPerShareBasic,5.95,5.70,5.04,4.29,3.80
EarningsPerShareDiluted,5.93,5.67,5.01,4.25,3.77
WeightedAverageNumberOfSharesOutstandingBasic,231256000,230519000,230208000,230955000,229435000
WeightedAverageNumberOfDilutedSharesOutstanding,232168000,231509000,231536000,232813000,231150000
RevenueFromContractWithCustomerExcludingAssessedTax,6941180000,6596950000,6150530000,,
InterestExpenseNonoperating,112962000,81795000,83186000,,
