key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,373765000,409804000,,
ReceivablesNetCurrent,983900000,1012932000,,
InventoryNet,1127328000,1132471000,,
OtherAssetsCurrent,290516000,269461000,,
AssetsCurrent,2775502000,2824668000,,
PropertyPlantAndEquipmentNet,877420000,891293000,,
OperatingLeaseRightOfUseAsset,219887000,229723000,,
Goodwill,6438700000,6447600000,,
IntangibleAssetsNetExcludingGoodwill,4080603000,4165317000,,
InvestmentsAndOtherNoncurrentAssets,472894000,464903000,,
Assets,14864981000,15023533000,,
DebtCurrent,1055406000,1417915000,,
AccountsPayableCurrent,517352000,516588000,,
ContractWithCustomerLiabilityCurrent,391873000,375513000,,
AccruedIncomeTaxesCurrent,85843000,69567000,,
AccruedLiabilitiesAndOtherLiabilities,452034000,502990000,,
LiabilitiesCurrent,2502508000,2882573000,,
LongTermDebtNoncurrent,1877772000,1895432000,,
DeferredIncomeTaxLiabilitiesNet,836571000,836695000,,
OtherLiabilitiesNoncurrent,679915000,678642000,,
Liabilities,5896766000,6293342000,,
CommonStockValue,2715000,2709000,,
AdditionalPaidInCapitalCommonStock,1186132000,1168694000,,
RetainedEarningsAccumulatedDeficit,10186621000,9940343000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-510328000,-484942000,,
TreasuryStockValue,1896925000,1896613000,,
StockholdersEquity,-1896925000,-1896613000,7757125000,-1902964000
LiabilitiesAndStockholdersEquity,14864981000,15023533000,,
