key,2024-09-30,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2022-12-31
ProfitLoss,988867000,,,970324000,,
DepreciationAndAmortization,287049000,,,245713000,,
DeferredIncomeTaxesAndTaxCredits,-28970000,,,-67525000,,
ShareBasedCompensation,12743000,,,12913000,,
GainLossOnSaleOfFacilities,995000,,,0,,
IncreaseDecreaseInOperatingCapital,-20675000,,,-27266000,,
PensionContributions,4433000,,,3927000,,
OtherNoncashIncomeExpense,18268000,,,12985000,,
NetCashProvidedByUsedInOperatingActivities,1278832000,,,1194639000,,
PaymentsToAcquirePropertyPlantAndEquipment,75350000,,,76506000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,0,,,246656000,,
ProceedsFromSaleOfFacilities,4246000,,,0,,
PaymentsForProceedsFromOtherInvestingActivities,-1580000,,,3149000,,
NetCashProvidedByUsedInInvestingActivities,-69524000,,,-326311000,,
ProceedsFromRepaymentsOfShortTermDebt,-698099000,,,-220555000,,
RepaymentsOfLongTermDebt,300000000,,,0,,
PaymentsForRepurchaseOfCommonStock,67995000,,,6578000,,
PaymentsOfDividendsCommonStock,194068000,,,172693000,,
ProceedsFromStockOptionsExercised,39728000,,,40120000,,
ProceedsFromPaymentsForOtherFinancingActivities,-7976000,,,-5068000,,
NetCashProvidedByUsedInFinancingActivities,-1228410000,,,-364774000,,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,5564000,,,-7039000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-13538000,,,496515000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,396266000,,409804000,841901000,,345386000
