key,2024-09-30,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,845614000,,,741680000,,
CostOfGoodsAndServicesSold,3347860000,,,3096635000,,
SellingGeneralAndAdministrativeExpense,521137000,,,506963000,,
CostsAndExpenses,3868997000,,,3603598000,,
OperatingIncomeLoss,1310581000,,,1262467000,,
InterestExpenseNonoperating,90962000,,,57678000,,
OtherNonoperatingIncomeExpense,-2435000,,,-15313000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1217184000,,,1189476000,,
IncomeTaxExpenseBenefit,228317000,,,219152000,,
NetIncomeLoss,988867000,,,970324000,,
EarningsPerShareBasic,4.28,,,4.21,,
EarningsPerShareDiluted,4.26,,,4.19,,
WeightedAverageNumberOfSharesOutstandingBasic,231292000,,,230431000,,
WeightedAverageNumberOfDilutedSharesOutstanding,232188000,,,231414000,,
CommonStockDividendsPerShareCashPaid,0.84,,,0.75,,
