key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,351758000,,310943000,
DepreciationAndAmortization,1436000,,1391000,
DeferredIncomeTaxesAndTaxCredits,-1328000,,-2974000,
ShareBasedCompensation,9464000,,8941000,
GainLossOnSaleOfFacilities,0,,995000,
IncreaseDecreaseInOperatingCapital,42196000,,-816000,
PensionContributions,1462000,,1460000,
OtherNoncashIncomeExpense,5058000,,3044000,
NetCashProvidedByUsedInOperatingActivities,417545000,,410227000,
PaymentsToAcquirePropertyPlantAndEquipment,23069000,,27652000,
PaymentsToAcquireBusinessesNetOfCashAcquired,103200000,,0,
ProceedsFromSaleOfFacilities,0,,4246000,
PaymentsForProceedsFromOtherInvestingActivities,-521000,,-1994000,
NetCashProvidedByUsedInInvestingActivities,-125713000,,-21412000,
ProceedsFromRepaymentsOfShortTermDebt,-185093000,,-363052000,
PaymentsForRepurchaseOfCommonStock,18011000,,6915000,
PaymentsOfDividendsCommonStock,71455000,,64664000,
ProceedsFromStockOptionsExercised,4669000,,23613000,
ProceedsFromPaymentsForOtherFinancingActivities,-7803000,,-6531000,
NetCashProvidedByUsedInFinancingActivities,-277693000,,-417549000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,10863000,,-7305000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,25002000,,-36039000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,399001000,373999000,373765000,409804000
