key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,1143673000,,1156779000,
CostOfGoodsAndServicesSold,669183000,,678303000,
SellingGeneralAndAdministrativeExpense,170171000,,174283000,
CostsAndExpenses,1277142000,,1318964000,
OperatingIncomeLoss,-27939000,,-26415000,
InterestExpenseNonoperating,18993000,,35254000,
OtherNonoperatingIncomeExpense,-1614000,,-633000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-48546000,,-62302000,
IncomeTaxExpenseBenefit,82464000,,70386000,
NetIncomeLoss,351758000,,310943000,
EarningsPerShareBasic,1.52,,1.35,
EarningsPerShareDiluted,1.52,,1.34,
WeightedAverageNumberOfSharesOutstandingBasic,230668000,,231097000,
WeightedAverageNumberOfDilutedSharesOutstanding,231542000,,232035000,
CommonStockDividendsPerShareCashPaid,0.31,,0.28,
