key,2024,2023,2022,2021,2020
Land,1722526000,1711873000,1716273000,1349594000,
InvestmentBuildingAndBuildingImprovements,11319460000,10993390000,10674619000,8624734000,
RealEstateAssetsAtCostTotal,13041986000,12705263000,12390892000,9974328000,
RealEstateInvestmentPropertyAccumulatedDepreciation,4867422000,4332524000,3848111000,3358027000,
NetOperatingRealEstateAssets,8174564000,8372739000,8542781000,6616301000,
PropertiesUnderDevelopmentIncludingLand,401542000,486864000,524981000,474739000,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,0,13730000,
RealEstateAssetsTotal,8576106000,8859603000,9067762000,7104770000,
AccountsReceivableRelatedParties,,,13364000,18664000,
OtherAssets,234838000,244182000,229371000,234370000,
CashAndCashEquivalentsAtCarryingValue,21045000,259686000,10687000,613391000,420441000
RestrictedCashAndCashEquivalents,11164000,8361000,6751000,5589000,4092000
Assets,8852144000,9383737000,9327935000,7976784000,
UnsecuredDebt,3155233000,3385309000,3165924000,3170367000,
SecuredDebt,330358000,330127000,514989000,0,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,215179000,222599000,211370000,191651000,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,78529000,96517000,95551000,66673000,
DistributionsPayable,113549000,110427000,103628000,88786000,
OtherLiabilities,212107000,186987000,179552000,193052000,
Liabilities,4104955000,4331966000,4271014000,3710529000,
CommonStocksValueOutstanding,1158000,1156000,1156000,1126000,
AdditionalPaidInCapitalCommonStock,5930729000,5914868000,5897454000,5363530000,
AccumulatedDistributionsInExcessOfNetIncome,897931000,613651000,581532000,829453000,
TreasuryStockValue,359732000,320364000,328684000,333974000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,974000,-1252000,-1774000,-3739000,
StockholdersEquity,4675198000,4980757000,4986620000,4197490000,
MinorityInterest,71991000,71014000,70301000,68765000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,4747189000,5051771000,5056921000,4266255000,1069000
LiabilitiesAndStockholdersEquity,8852144000,9383737000,9327935000,7976784000,
AccountsReceivableAffiliates,8991000,11905000,13364000,,
