key,2024,2023,2022,2021,2020
ProfitLoss,170840000,410553000,661508000,312376000,128579000
DepreciationDepletionAndAmortization,582014000,574813000,577020000,420692000,367162000
GainsLossesOnExtinguishmentOfDebt,-921000,-2513000,0,0,-176000
GainLossOnDispositionOfAssets1,43806000,225416000,36372000,174384000,382000
GainOnAcquisitionOfUnconsolidatedJointVentureInterests,0,0,474146000,0,0
EquityMethodInvestmentDividendsOrDistributions,0,0,3015000,9645000,8389000
IncomeLossFromEquityMethodInvestments,0,0,3048000,9777000,8052000
ShareBasedCompensation,15166000,14512000,12822000,15397000,13942000
OtherOperatingActivitiesCashFlowStatement,8754000,17975000,3913000,3518000,9505000
NetCashProvidedByUsedInOperatingActivities,774877000,794950000,744712000,577467000,519319000
PaymentsToDevelopRealEstateAssets,393735000,410934000,449431000,428714000,427247000
PaymentsToAcquireRealEstate,0,0,1066051000,629959000,0
Proceedsfromsaleofoperatingpropertiesincludingland,114474000,290663000,70536000,254717000,753000
PaymentsToAcquireOtherPropertyPlantAndEquipment,3800000,5597000,4407000,4032000,7498000
PaymentsForProceedsFromOtherInvestingActivities,2169000,1259000,6831000,-3597000,-4390000
NetCashProvidedByUsedInInvestingActivities,-285230000,-127127000,-1456184000,-804391000,-429602000
ProceedsFromIssuanceOfCommonStock,0,0,30000,54000,0
PaymentsOfDividends,450965000,434875000,396822000,343039000,333360000
ProceedsFromLinesOfCredit,586000000,1335000000,758000000,0,358000000
RepaymentsOfLinesOfCredit,408000000,1377000000,716000000,0,402000000
RepaymentsOfNotesPayable,250000000.0,437749000,350000000,0,100000000
ProceedsFromNotesPayable,395952000,498235000,300000000,0,782823000
PaymentsOfFinancingCosts,2878000,3114000,10948000,1346000,1308000
ProceedsFromPaymentsForOtherFinancingActivities,4403000,2289000,8942000,6547000,3162000
NetCashProvidedByUsedInFinancingActivities,-725485000,-417214000,109930000,421371000,307317000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-235838000,250609000,-601542000,194447000,397034000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,32209000,268047000,17438000,618980000,424533000
CashAndCashEquivalentsAtCarryingValue,21045000,259686000,10687000,613391000,420441000
RestrictedCashAndCashEquivalents,11164000,8361000,6751000,5589000,4092000
InterestPaidNet,129637000,128870000,111069000,97301000,90297000
IncomeTaxesPaid,2816000,3591000,3216000,2181000,2292000
Dividends,113549000,110427000,103628000,88786000,84147000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,25134000,24850000,21526000,18627000,19560000
AccrualAssociatedWithConstructionAndCapitalExpenditures,24097000,23706000,20151000,24313000,29611000
TransferMortgagePayable,0,0,514554000,0,0
LiabilitiesAssumed1,0,0,39168000,0,0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,,,0,0,676000
AssetImpairmentCharges,40988000,0,0,,
PaymentsForRepurchaseOfCommonStock,49997000,0,0,,
