key,2024,2023,2022,2021,2020
OperatingLeaseLeaseIncome,1543842000,1542027000,1422756000,1143585000,1043837000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,365681000,353911000,315737000,267703000,252190000
RealEstateTaxExpense,193124000,195009000,182344000,149322000,142636000
CostOfGoodsAndServicesSold,558805000,548920000,498081000,417025000,394826000
RevenueFromContractWithCustomerExcludingAssessedTax,7137000,3451000,5188000,10532000,10800000
InterestAndOtherIncome,4420000,879000,3019000,1223000,2949000
IncomeLossOnDeferredCompensationPlans,12629000,15398000,-19637000,14369000,12045000
TotalNonPropertyIncomeLoss,24186000,19728000,-11430000,26124000,25794000
CostOfPropertyRepairsAndMaintenance,38331000,33706000,28601000,26339000,24201000
CostofFeeandAssetManagement,2200000,1717000,2516000,4511000,3954000
GeneralAndAdministrativeExpense,72365000,62506000,60413000,59368000,53624000
InterestExpense,129815000,133395000,113424000,97297000,91526000
DepreciationAndAmortization,582014000,574813000,577020000,420692000,367162000
ExpenseBenefitOnDeferredCompensationPlans,12629000,15398000,-19637000,14369000,12045000
TotalOtherExpenses,837354000,821535000,762337000,622576000,552512000
GainsLossesOnExtinguishmentOfDebt,-921000,-2513000,0,0,-176000
GainLossOnDispositionOfAssets,43806000,225416000,36372000,174384000,382000
GainOnAcquisitionOfUnconsolidatedJointVentureInterests,0,0,474146000,0,0
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,0,0,3048000,9777000,8052000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,173766000,414203000,664474000,314269000,130551000
CurrentIncomeTaxExpenseBenefit,2926000,3650000,2966000,1893000,1972000
ProfitLoss,170840000,410553000,661508000,312376000,128579000
NetIncomeLossAttributableToNoncontrollingInterest,7547000,7244000,7895000,8469000,4668000
NetIncomeLoss,163293000,403309000,653613000,303907000,123911000
EarningsPerShareBasic,1.50,3.71,6.07,2.97,1.24
EarningsPerShareDiluted,1.50,3.70,6.04,2.96,1.24
WeightedAverageNumberOfSharesOutstandingBasic,108491000,108653000,107605000,101999000,99385000
WeightedAverageNumberOfDilutedSharesOutstanding,108539000,109399000,108388000,102829000,99438000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,18000,183000,-489000,-154000,318000
Reclassificationofnetlossoncashflowhedgingactivitiespriorservicecostandnetlossonpostretirementobligation,2159000,1433000,1476000,1490000,1464000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,173066000,411075000,663473000,314020000,129725000
ComprehensiveIncomeNetOfTax,165519000,403831000,655578000,305551000,125057000
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,85000,-728000,0,0,
AssetImpairmentCharges,40988000,0,0,,
