key,2024-03-31,2024-02-07,2024-01-04,2023-12-31,2023-03-31,2022-12-31
Land,1706983000,,,1711873000,,
InvestmentBuildingAndBuildingImprovements,11014440000,,,10993390000,,
RealEstateAssetsAtCostTotal,12721423000,,,12705263000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,4439710000,,,4332524000,,
NetOperatingRealEstateAssets,8281713000,,,8372739000,,
DevelopmentInProcess,477481000,,,486864000,,
RealEstateInvestmentPropertyNet,8759194000,,,8859603000,,
AccountsReceivableAffiliates,10350000,,,11905000,,
OtherAssets,233137000,,,244182000,,
CashAndCashEquivalentsAtCarryingValue,92693000,,,259686000,20419000,
RestrictedCashAndCashEquivalents,8230000,,,8361000,6863000,
Assets,9103604000,,,9383737000,,
UnsecuredDebt,3223300000,,,3385300000,,
SecuredDebt,330200000,,,330100000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,213896000,,,222599000,,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,46612000,,,96517000,,
DividendsPayableCurrentAndNoncurrent,113556000,,,110427000,,
OtherLiabilities,182443000,,,186987000,,
Liabilities,4109976000,,,4331966000,,
CommitmentsAndContingencies,,,,,,
CommonStocksValueOutstanding,1157000,,,1156000,,
AdditionalPaidInCapitalCommonStock,5919851000,,,5914868000,,
AccumulatedDistributionsInExcessOfNetIncome,641663000,,,613651000,,
TreasuryStockValue,356880000,,,320364000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-78000,,,-1252000,,
StockholdersEquity,4922387000,,,4980757000,,
MinorityInterest,71241000,,,71014000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,71241000,,,71014000,5003553000,5056921000
LiabilitiesAndStockholdersEquity,9103604000,,,9383737000,,
