key,2024-03-31,2024-02-07,2024-01-04,2023-12-31,2023-03-31,2022-12-31
ProfitLoss,85759000,,,,43619000,
DepreciationDepletionAndAmortization,144802000,,,,142444000,
GainsLossesOnExtinguishmentOfDebt,-921000,,900000,,0,
GainLossOnDispositionOfAssets1,43806000,,,,0,
ShareBasedCompensation,3360000,,,,3629000,
OtherOperatingActivitiesCashFlowStatement,-55146000,,,,-49981000,
NetCashProvidedByUsedInOperatingActivities,135890000,,,,139711000,
PaymentsToDevelopRealEstateAssets,106094000,,,,91908000,
Proceedsfromsaleofoperatingpropertiesincludingland,114474000,,,,0,
PaymentsForProceedsFromOtherInvestingActivities,1490000,,,,1627000,
NetCashProvidedByUsedInInvestingActivities,6890000,,,,-93535000,
ProceedsFromLinesOfCredit,120000000,,,,265000000,
RepaymentsOfLinesOfCredit,120000000,,,,199000000,
ProceedsFromNotesPayable,395952000,,,,0,
RepaymentsOfNotesPayable,550000000,,250000000,,0,
PaymentsOfDividends,110427000,,,,103599000,
PaymentsForRepurchaseOfCommonStock,45682000,,,,0,
ProceedsFromPaymentsForOtherFinancingActivities,253000,,,,1267000,
NetCashProvidedByUsedInFinancingActivities,-309904000,,,,-36332000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-167124000,,,,9844000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,100923000,,,268047000,27282000,17438000
CashAndCashEquivalentsAtCarryingValue,92693000,,,259686000,20419000,
RestrictedCashAndCashEquivalents,8230000,,,8361000,6863000,
InterestPaidNet,21240000,,,,26378000,
IncomeTaxesPaid,228000,,,,681000,
Dividends,113556000,,,,110444000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,23499000,,,,23583000,
AccrualAssociatedWithConstructionAndCapitalExpenditures,29144000,,,,27413000,
