key,2024-03-31,2024-02-07,2024-01-04,2023-12-31,2023-03-31,2022-12-31
OperatingLeaseLeaseIncome,383141000,,,,378163000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,89044000,,,,85285000,
RealEstateTaxExpense,49501000,,,,49396000,
CostsAndExpenses,138545000,,,,134681000,
RevenueFromContractWithCustomerExcludingAssessedTax,1284000,,,,578000,
InterestAndOtherIncome,1768000,,,,62000,
IncomeLossOnDeferredCompensationPlans,5819000,,,,5912000,
TotalNonPropertyIncomeLoss,8871000,,,,6552000,
CostOfPropertyRepairsAndMaintenance,9394000,,,,8297000,
CostofFeeandAssetManagement,443000,,,,413000,
GeneralAndAdministrativeExpense,16693000,,,,15356000,
InterestExpense,32537000,,,,32843000,
DepreciationAndAmortization,144802000,,,,142444000,
ExpenseBenefitOnDeferredCompensationPlans,5819000,,,,5912000,
TotalOtherExpenses,209688000,,,,205265000,
GainsLossesOnExtinguishmentOfDebt,-921000,,900000,,0,
GainLossOnDispositionOfAssets,43806000,43800000,,,0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,86664000,,,,44769000,
CurrentIncomeTaxExpenseBenefit,905000,,,,1150000,
ProfitLoss,85759000,,,,43619000,
NetIncomeLossAttributableToNoncontrollingInterest,1870000,,,,1702000,
NetIncomeLoss,83889000,,,,41917000,
EarningsPerShareBasic,0.77,,,,0.39,
EarningsPerShareDiluted,0.77,,,,0.39,
WeightedAverageNumberOfSharesOutstandingBasic,108706000,,,,108568000,
WeightedAverageNumberOfDilutedSharesOutstanding,108729000,,,,108604000,
UnrealizedGainLossOnCashFlowHedgingInstruments,85000,,,,0,
Reclassificationofnetlossoncashflowhedgingactivitiespriorservicecostandnetlossonpostretirementobligation,1089000,,,,359000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,86933000,,,,43978000,
ComprehensiveIncomeNetOfTax,85063000,,,,42276000,
