key,2025-03-31,2025-02-27,2025-01-23,2024-12-31,2024-03-31,2024-02-07,2023-12-31
Land,1763468000,,,1722526000,,,
InvestmentBuildingAndBuildingImprovements,11550852000,,,11319460000,,,
RealEstateAssetsAtCostTotal,13314320000,,,13041986000,,,
RealEstateInvestmentPropertyAccumulatedDepreciation,5011583000,,,4867422000,,,
NetOperatingRealEstateAssets,8302737000,,,8174564000,,,
DevelopmentInProcess,403657000,,,401542000,,,
RealEstateInvestmentPropertyNet,8706394000,,,8576106000,,,
AccountsReceivableAffiliates,8950000,,,8991000,,,
OtherAssets,239999000,,,234838000,,,
CashAndCashEquivalentsAtCarryingValue,26182000,,,21045000,92693000,,
RestrictedCashAndCashEquivalents,11607000,,,11164000,8230000,,
Assets,8993132000,,,8852144000,,,
UnsecuredDebt,3405300000,,,3155200000,0,,
SecuredDebt,330400000,,,330400000,,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,195197000,,,215179000,,,
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,46192000,,,78529000,,,
DividendsPayableCurrentAndNoncurrent,115983000,,,113549000,,,
OtherLiabilities,212871000,,,212107000,,,
Liabilities,4305914000,,,4104955000,,,
CommitmentsAndContingencies,,,,,,,
CommonStocksValueOutstanding,1157000,,,1158000,,,
AdditionalPaidInCapitalCommonStock,5936982000,,,5930729000,,,
AccumulatedDistributionsInExcessOfNetIncome,973416000,,,897931000,,,
TreasuryStockValue,351092000,,,359732000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1325000,,,974000,,,
StockholdersEquity,4614956000,,,4675198000,,,
MinorityInterest,72262000,,,71991000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,72262000,,,71991000,4993628000,,5051771000
LiabilitiesAndStockholdersEquity,8993132000,,,8852144000,,,
