key,2025-03-31,2025-02-27,2025-01-23,2024-12-31,2024-03-31,2024-02-07,2023-12-31
ProfitLoss,-40767000,,,,85759000,,
DepreciationDepletionAndAmortization,149252000,,,,144802000,,
GainsLossesOnExtinguishmentOfDebt,0,,,,-921000,,
GainLossOnDispositionOfAssets1,0,,,,43806000,,
ShareBasedCompensation,4058000,,,,3360000,,
OtherOperatingActivitiesCashFlowStatement,-45861000,,,,-55146000,,
NetCashProvidedByUsedInOperatingActivities,148216000,,,,135890000,,
PaymentsToDevelopRealEstateAssets,78397000,,,,106094000,,
PaymentsToAcquireRealEstate,196355000,131300000,67700000,,0,,
Proceedsfromsaleofoperatingpropertiesincludingland,0,,,,114474000,,
PaymentsForProceedsFromOtherInvestingActivities,1193000,,,,1490000,,
NetCashProvidedByUsedInInvestingActivities,-275945000,,,,6890000,,
ProceedsFromLinesOfCredit,546000000,,,,120000000,,
RepaymentsOfLinesOfCredit,724000000,,,,120000000,,
ProceedsFromRepaymentsOfCommercialPaper,425780000,,,,0,,
ProceedsFromNotesPayable,0,,,,395952000,,
RepaymentsOfNotesPayable,0,,,,550000000,,
PaymentsOfDividends,113537000,,,,110427000,,
PaymentsForRepurchaseOfCommonStock,0,,,,45682000,,
ProceedsFromPaymentsForOtherFinancingActivities,-934000,,,,253000,,
NetCashProvidedByUsedInFinancingActivities,133309000,,,,-309904000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,5580000,,,,-167124000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,37789000,,,32209000,100923000,,268047000
CashAndCashEquivalentsAtCarryingValue,26182000,,,21045000,92693000,,
RestrictedCashAndCashEquivalents,11607000,,,11164000,8230000,,
InterestPaidNet,25415000,,,,21240000,,
IncomeTaxesPaid,-375000,,,,228000,,
Dividends,115983000,,,,113556000,,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,25997000,,,,23499000,,
AccrualAssociatedWithConstructionAndCapitalExpenditures,24310000,,,,29144000,,
