key,2024,2023,2022,2021,2020
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2078000000,5864000000,5995000000,2586000000,6035000000
AccountsReceivableNetCurrent,3537000000,3922000000,4918000000,4631000000,
InventoryNet,2330000000,2594000000,3110000000,2767000000,
PrepaidExpenseAndOtherAssetsCurrent,1552000000,1557000000,1860000000,1664000000,
AssetsCurrent,9497000000,13937000000,15883000000,11648000000,
PropertyPlantAndEquipmentNet,4990000000,4553000000,3956000000,3790000000,1317000000
OtherAssetsNoncurrent,3990000000,3644000000,4459000000,3719000000,
Goodwill,40497000000,41608000000,39752000000,41184000000,10200000000
IntangibleAssetsNetExcludingGoodwill,18568000000,20746000000,20300000000,22843000000,
Assets,77542000000,84488000000,84350000000,83184000000,39086000000
DebtCurrent,505000000,1695000000,591000000,8000000,
AccountsPayableTradeCurrent,1753000000,1766000000,2296000000,2569000000,
AccruedLiabilitiesCurrent,4540000000,4813000000,5502000000,5563000000,
LiabilitiesCurrent,6798000000,8274000000,8389000000,8140000000,
OtherLiabilitiesNoncurrent,5694000000,6017000000,6785000000,7699000000,
LongTermDebtNoncurrent,15500000000,16707000000,19086000000,22168000000,
PreferredStockValue,,0,1668000000,3268000000,
CommonStockValue,9000000,9000000,9000000,9000000,
AdditionalPaidInCapitalCommonStock,16727000000,14151000000,12072000000,10090000000,
RetainedEarningsAccumulatedDeficit,44188000000,41074000000,39205000000,32827000000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3218000000,-1748000000,-2872000000,-1027000000,745000000
StockholdersEquity,49543000000,53486000000,50082000000,45167000000,
MinorityInterest,7000000,4000000,8000000,10000000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,49550000000,53490000000,50090000000,45177000000,3268000000
LiabilitiesAndStockholdersEquity,77542000000,84488000000,84350000000,83184000000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,0,1280000000,,
DisposalGroupIncludingDiscontinuedOperationOtherNoncurrentAssets,,0,3501000000,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,0,1127000000,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,0,287000000,,
TreasuryStockCommonValue,8163000000,2019000000,,,
