key,2024,2023,2022,2021,2020
NetIncomeLoss,3899000000,4764000000,7209000000,6433000000,3646000000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0,543000000,0,86000000,0
IncomeLossFromContinuingOperations,3899000000,4221000000,7209000000,6347000000,3646000000
Depreciation,721000000,675000000,738000000,718000000,637000000
AmortizationOfIntangibleAssets,1631000000,1491000000,1484000000,1450000000,1138000000
AmortizationOfInventoryStepUp,25000000,8000000,0,59000000,457000000
ShareBasedCompensation,288000000,306000000,336000000,218000000,187000000
ContractSettlementExpense,,0,0,542000000,0
GainsLossesOnExtinguishmentOfDebt,,0,0,-96000000,-26000000
PretaxGainOnSaleOfProductLinesAndInvestmentGainsLosses,,-182000000,-271000000,414000000,455000000
IncreaseDecreaseInDeferredIncomeTaxes,483000000,1204000000,559000000,229000000,-518000000
IncreaseDecreaseInAccountsReceivable,-331000000,-322000000,477000000,611000000,264000000
IncreaseDecreaseInInventories,-147000000,-185000000,486000000,502000000,123000000
IncreaseDecreaseInAccountsPayable,19000000,-149000000,5000000,549000000,227000000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-274000000,-419000000,78000000,4000000,-102000000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-486000000,34000000,76000000,139000000,119000000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,6688000000,6490000000,8519000000,8358000000,6215000000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,0,674000000,0,0,-7000000
NetCashProvidedByUsedInOperatingActivities,6688000000,7164000000,8519000000,8358000000,6208000000
PaymentsToAcquireBusinessesNetOfCashAcquired,558000000,5610000000,637000000,10961000000,20971000000
PaymentsToAcquirePropertyPlantAndEquipment,1392000000,1383000000,1152000000,1294000000,791000000
ProceedsFromSaleOfPropertyPlantAndEquipment,13000000,12000000,9000000,13000000,2000000
PaymentsToAcquireInvestments,331000000,172000000,523000000,934000000,342000000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,,18000000,126000000,13000000
ProceedsFromSaleOfProductLinesNetOfCashTransferedAndTransactionCosts,,,0,26000000,826000000
PaymentsForProceedsFromOtherInvestingActivities,-34000000,-44000000,-51000000,-37000000,-24000000
NetCashProvidedByUsedInInvestingActivities,-1981000000,-7081000000,-2234000000,-12987000000,-21239000000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,162000000,68000000,31000000,86000000,153000000
ProceedsFromIssuanceOfCommonStock,,,0,0,1729000000
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,,0,0,1668000000
PaymentsOfDividends,768000000,821000000,818000000,742000000,615000000
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,5000000,-1006000000,-723000000,2265000000,-4637000000
ProceedsFromDebtMaturingInMoreThanThreeMonths,,0,0,984000000,8670000000
RepaymentsOfDebtMaturingInMoreThanThreeMonths,1674000000,620000000,965000000,1186000000,5933000000
PaymentsOfDebtExtinguishmentCosts,,0,0,96000000,26000000
ProceedsFromPaymentsForOtherFinancingActivities,-131000000,-67000000,-95000000,-16000000,-3000000
NetCashProvidedByUsedInFinancingActivities,-8385000000,-273000000,-2570000000,1295000000,1006000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-108000000,59000000,-306000000,-115000000,148000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-3786000000,-131000000,3409000000,-3449000000,-13877000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2078000000,5864000000,5995000000,2586000000,6035000000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,253000000,61000000,18000000,126000000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1981000000,-7048000000,-2145000000,-12890000000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0,-33000000,-89000000,-97000000,
ProceedsFromDistributionFromDiscontinuedOperationsSeparation,0,2600000000,0,0,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-8385000000,154000000,-2570000000,1295000000,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,0,-427000000,0,0,
NoncashSeparationOfSubsidiaryDistributionOfAssetsLiabilitiesNet,0,1674000000,0,0,
GainLossOnInvestments,-57000000,-182000000,-271000000,,
AssetImpairmentCharges,265000000,77000000,0,,
PaymentsForRepurchaseOfCommonStock,5979000000,0,0,,
