key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,23875000000,23890000000,31471000000,29453000000,22284000000
CostOfGoodsAndServicesSold,9669000000,9856000000,12522000000,11501000000,9809000000
GrossProfit,14206000000,14034000000,18949000000,17952000000,12475000000
SellingGeneralAndAdministrativeExpense,7759000000,7329000000,8516000000,8198000000,6896000000
ResearchAndDevelopmentExpense,1584000000,1503000000,1745000000,1742000000,1348000000
OtherCostAndExpenseOperating,,0,0,547000000,0
OperatingIncomeLoss,4863000000,5202000000,8688000000,7465000000,4231000000
OtherNonoperatingIncomeExpense,-56000000,-175000000,-226000000,456000000,494000000
GainsLossesOnExtinguishmentOfDebt,,0,0,-96000000,-26000000
InterestExpense,,286000000,211000000,238000000,275000000
InvestmentIncomeInterest,117000000,303000000,41000000,11000000,71000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,4646000000,5044000000,8292000000,7598000000,4495000000
IncomeTaxExpenseBenefit,747000000,823000000,1083000000,1251000000,849000000
IncomeLossFromContinuingOperations,3899000000,4221000000,7209000000,6347000000,3646000000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0,543000000,0,86000000,0
NetIncomeLoss,3899000000,4764000000,7209000000,6433000000,3646000000
PreferredStockDividendsIncomeStatementImpact,0,21000000,106000000,164000000,136000000
NetIncomeLossAvailableToCommonStockholdersBasic,3899000000,4743000000,7103000000,6269000000,3510000000
IncomeLossFromContinuingOperationsPerBasicShare,5.33,5.70,9.80,8.65,4.97
IncomeLossFromContinuingOperationsPerDilutedShare,5.29,5.65,9.66,8.50,4.89
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0,0.74,0,0.12,0
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0,0.73,0,0.12,0
EarningsPerShareBasic,5.33,6.44,9.80,8.77,4.97
EarningsPerShareDiluted,5.29,6.38,9.66,8.61,4.89
WeightedAverageNumberOfSharesOutstandingBasic,731000000.0,736500000,725100000,714600000,706200000
WeightedAverageNumberOfDilutedSharesOutstanding,737200000,743100000,737100000,736800000,718700000
InterestExpenseNonoperating,278000000,286000000,204000000,,
