key,2024-03-29,2023-12-31,2023-03-31,2022-12-31
NetIncomeLoss,1088000000,,1450000000,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0,,210000000,
IncomeLossFromContinuingOperations,1088000000,,1240000000,
Depreciation,179000000,,163000000,
AmortizationOfIntangibleAssets,407000000,,372000000,
AmortizationOfInventoryStepUp,25000000,,0,
ShareBasedCompensation,60000000,,70000000,
GainLossOnInvestments,-37000000,,22000000,
IncreaseDecreaseInAccountsReceivable,-516000000,,-630000000,
IncreaseDecreaseInInventories,118000000,,255000000,
IncreaseDecreaseInAccountsPayable,-74000000,,-195000000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,21000000,,-39000000,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,-360000000,,-236000000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1739000000,,1806000000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,0,,141000000,
NetCashProvidedByUsedInOperatingActivities,1739000000,,1947000000,
PaymentsToAcquirePropertyPlantAndEquipment,291000000,,266000000,
PaymentsToAcquireInvestments,53000000,,43000000,
ProceedsFromSaleMaturityAndCollectionsOfInvestments,9000000,,1000000,
PaymentsForProceedsFromOtherInvestingActivities,-14000000,,-13000000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-321000000,,-295000000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0,,-9000000,
NetCashProvidedByUsedInInvestingActivities,-321000000,,-304000000,
PaymentsForProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,-1000000,,-34000000,
PaymentsOfDividends,177000000,,204000000,
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,68000000,,-4000000,
ProceedsFromPaymentsForOtherFinancingActivities,-23000000,,-20000000,
NetCashProvidedByUsedInFinancingActivities,-133000000,,-262000000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-118000000,,3000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,1167000000,,1384000000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,7031000000,5864000000,7379000000,5995000000
InterestPaidNet,42000000,,82000000,
IncomeTaxesPaidNet,222000000,,228000000,
