key,2024-03-29,2023-12-31,2023-03-31,2022-12-31
RevenueFromContractWithCustomerExcludingAssessedTax,1001000000,,1287000000,
CostOfGoodsAndServicesSold,2309000000,,2287000000,
GrossProfit,3487000000,,3662000000,
SellingGeneralAndAdministrativeExpense,1807000000,,1772000000,
ResearchAndDevelopmentExpense,368000000,,373000000,
OperatingIncomeLoss,-78000000,,-77000000,
OtherNonoperatingIncomeExpense,-36000000,,24000000,
InterestExpense,65000000,,66000000,
InvestmentIncomeInterest,60000000,,48000000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1271000000,,1523000000,
IncomeTaxExpenseBenefit,183000000,,283000000,
IncomeLossFromContinuingOperations,1088000000,,1240000000,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0,,210000000,
NetIncomeLoss,1088000000,,1450000000,
PreferredStockDividendsIncomeStatementImpact,0,,21000000,
NetIncomeLossAvailableToCommonStockholdersBasic,1088000000,,1429000000,
IncomeLossFromContinuingOperationsPerBasicShare,1.47,,1.67,
IncomeLossFromContinuingOperationsPerDilutedShare,1.45,,1.65,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0,,0.29,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0,,0.28,
EarningsPerShareBasic,1.47,,1.96,
EarningsPerShareDiluted,1.45,,1.94,
WeightedAverageNumberOfSharesOutstandingBasic,740600000,,729400000,
WeightedAverageNumberOfDilutedSharesOutstanding,748600000,,737200000,
