key,2025-03-28,2024-12-31,2024-03-29,2023-12-31
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,1993000000,2078000000,7031000000,5864000000
AccountsReceivableNetCurrent,3506000000,3537000000,,
InventoryFinishedGoodsNetOfReserves,1272000000,1145000000,,
InventoryWorkInProcessNetOfReserves,517000000,465000000,,
InventoryRawMaterialsNetOfReserves,743000000,720000000,,
InventoryNet,2532000000,2330000000,,
PrepaidExpenseAndOtherAssetsCurrent,1494000000,1552000000,,
AssetsCurrent,9525000000,9497000000,,
PropertyPlantAndEquipmentNet,5110000000,4990000000,,
OtherAssetsNoncurrent,3939000000,3990000000,,
Goodwill,6837000000,6755000000,,
IntangibleAssetsNetExcludingGoodwill,18885000000,18568000000,,
Assets,5308000000,5522000000,,
DebtCurrent,501000000,505000000,,
AccountsPayableTradeCurrent,1722000000,1753000000,,
AccruedLiabilitiesCurrent,4422000000,4540000000,,
LiabilitiesCurrent,6645000000,6798000000,,
OtherLiabilitiesNoncurrent,5638000000,5694000000,,
LongTermDebtNoncurrent,2400000000,15500000000,,
CommonStockValue,9000000,9000000,,
AdditionalPaidInCapitalCommonStock,16845000000,16727000000,,
TreasuryStockCommonValue,9306000000,8163000000,,
RetainedEarningsAccumulatedDeficit,44913000000,44188000000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1612000000,-3218000000,,
StockholdersEquity,50849000000,49543000000,,
MinorityInterest,8000000,7000000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,142000000,-14000000,49000000,99000000
LiabilitiesAndStockholdersEquity,79116000000,77542000000,,
