key,2024,2023,2022,2021,2020
RealEstateProperties,,,4395972000,3546711000,
Developmentandvalueaddproperties,,,538449000,504614000,
RealEstateInvestmentPropertyAtCost,6177916000,5493195000,4934421000,4051325000,
RealEstateInvestmentPropertyAccumulatedDepreciation,1415576000,1273723000,1150814000,1035617000,
RealEstateInvestmentPropertyNet,4762340000,4219472000,3783607000,3015708000,
RealEstateHeldforsale,,,0,5695000,
EquityMethodInvestments,7448000,7539000,7230000,7320000,
Cash,,,56000,4393000,
OtherAssets,290159000,251939000,244944000,182220000,
Assets,5077476000,4519213000,4035837000,3215336000,
NotesPayableToBank,,,168454000,207066000,
UnsecuredDebt,1507157000,1676347000,1691259000,1242570000,
SecuredDebt,,0,2031000,2142000,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,147342000,146337000,136988000,109760000,
OtherLiabilities,134028000,89415000,83666000,82338000,
Liabilities,1784932000,1910579000,2082398000,1643876000,
CommonStockValue,5000,5000,4000,4000,
ExcessSharesValue,,,0,0,
AdditionalPaidInCapitalCommonStock,3673393000,2949907000,2251521000,1886820000,
AccumulatedDistributionsInExcessOfNetIncome,403172000,366473000,334898000,318056000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,21953000,24888000,36371000,1302000,-10752000
StockholdersEquity,3292179000,2608327000,1952998000,1570070000,
MinorityInterest,365000,307000,441000,1390000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3292544000,2608634000,1953439000,1571460000,4000
LiabilitiesAndStockholdersEquity,5077476000,4519213000,4035837000,3215336000,
CommonStockParOrStatedValuePerShare,0.0001,0.0001,0.0001,0.0001,
CommonStockSharesAuthorized,70000000,70000000,70000000,70000000,
CommonStockSharesIssued,272342,47700432,43575539,41268846,
CommonStockSharesOutstanding,51825798,47700432,43575539,41268846,39676828
ExcessSharesParValue,0.0001,0.0001,0.0001,0.0001,
ExcessSharesAuthorized,,,30000000,30000000,
ExcessSharesIssued,,,0,0,
RentalProperties,5503444000,4853548000,4395972000,,
DevelopmentInProcess,674472000,639647000,538449000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,17529000,40263000,56000,4393000,21000
LineOfCredit,-3595000,-1520000,168454000,,
CommonStockOtherValueOutstanding,0,0,0,,
ExcessStockSharesAuthorized,30000000,30000000,30000000,,
ExcessStockSharesIssued,0,0,0,,
