key,2024,2023,2022,2021,2020
ProfitLoss,227807000,200548000,186274000,157638000,108391000
DepreciationDepletionAndAmortization,189411000,171078000,153638000,127099000,116359000
ShareBasedCompensation,,,8292000,7511000,6579000
GainLossOnSaleOfPropertyPlantEquipmentAndRealEstateProperties,,,40999000,38859000,13145000
GainOnCasualtiesAndInvoluntaryConversion,,,0,0,161000
IncreaseDecreaseInOperatingAssets,13410000,15415000,9291000,11572000,4615000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,11130000,-5922000,17176000,13298000,-18851000
OtherOperatingActivitiesCashFlowStatement,1994000,1546000,1411000,1377000,1728000
NetCashProvidedByUsedInOperatingActivities,416587000,338202000,316501000,256492000,196285000
PaymentsToDevelopRealEstateAssets,245033000,388213000,494073000,418855000,195446000
PaymentsToAcquireCommercialRealEstate,390011000,165116000,2049000,108149000,49199000
PaymentsForCapitalImprovements,59288000,51116000,40851000,36665000,33131000
ProceedsFromSaleOfRealEstateHeldforinvestment,17659000,41539000,51006000,44260000,21565000
PaymentsForLeaseCommissions,32154000,32004000,37272000,33301000,17516000
ProceedsFromCasualtiesAndInvoluntaryConversion,,,0,0,242000
RepaymentsOnMortgageLoansReceivable,,,0,0,1679000
ChangesInAccruedDevelopmentCosts,,,4211000,21678000,-5339000
PaymentsForProceedsFromOtherInvestingActivities,795000,-7660000,2120000,-1769000,11111000
NetCashProvidedByUsedInInvestingActivities,-724342000,-570058000,-521148000,-529263000,-288256000
ProceedsFromBankDebt,,,942173000,625520000,625387000
RepaymentsOfBankDebt,,,981383000,541310000,613097000
ProceedsFromIssuanceOfUnsecuredDebt,0,100000000,525000000,175000000,275000000
RepaymentsOfUnsecuredDebt,170000000,115000000,75000000,40000000,105000000
RepaymentsOfSecuredDebt,0,1970000,60096000,76920000,54306000
PaymentsOfDebtIssuanceCosts,3178000,1818000,2067000,2678000,1090000
PaymentsOfOrdinaryDividends,252794000,225625000,193936000,131759000,119765000
ProceedsFromIssuanceOfCommonStock,717659000,692312000,75622000,273409000,91055000
PaymentsOfStockIssuanceCosts,507000,834000,247000,312000,334000
ProceedsFromPaymentsForOtherFinancingActivities,-6159000,-5002000,-29756000,-3807000,-6082000
NetCashProvidedByUsedInFinancingActivities,285021000,272063000,200310000,277143000,91768000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-22734000,40207000,-4337000,4372000,-203000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,17529000,40263000,56000,4393000,21000
InterestPaidNet,37185000,47228000,34110000,31658000,32362000
InterestCostsCapitalized,,,12393000,9028000,9651000
Cashpaidforoperatingleaseliability,,,1793000,1707000,1476000
StockIssuedDuringPeriodValuePurchaseOfAssets,0,0,303682000,0,0
NoncashOrPartNoncashAcquisitionDebtAssumed1,0,0,60000000,0,0
Operatingleaseliabilitiesarisingfromobtainingrightofuseassets,,,559000,13056000,495000
AllocatedShareBasedCompensationExpense,10476000,8965000,8292000,7511000,
GainLossOnSaleOfProperties,8751000,17965000,40999000,38859000,
GainsLossesOnSalesOfInvestmentRealEstate,362000,446000,0,0,
GainLossOnCondemnation,1708000,4187000,0,0,
ProceedsFromInsuranceSettlementInvestingActivities,2450000,5029000,0,0,
IncreaseDecreaseInEstimatedFutureDevelopmentCosts,,12163000,4211000,21678000,
ProceedsFromUnsecuredLinesOfCredit,64968000,471624000,942173000,625520000,
RepaymentsOfLongTermLinesOfCredit,64968000,641624000,981383000,541310000,
InterestPaidCapitalized,19823000,16235000,12393000,9028000,
OperatingLeasePayments,2406000,2042000,1793000,1707000,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,21836000,2379000,559000,13056000,
PaymentsForConstructionInProcess,-17170000,12163000,4211000,,
