key,2024,2023,2022,2021,2020
OperatingLeaseLeaseIncome,638035000,566179000,486817000,409412000,362669000
OtherOperatingIncome,2199000,4412000,208000,63000,354000
Revenues,640234000,570591000,487025000,409475000,363023000
Expensesfromrealestateoperations,,,133915000,115078000,103368000
DepreciationDepletionAndAmortization,,,153638000,127099000,116359000
GeneralAndAdministrativeExpense,20619000,16757000,16362000,15704000,14404000
Indirectleasingcosts,,,546000,700000,661000
CostsAndExpenses,385027000,342447000,304461000,258581000,234792000
InterestExpense,38956000,47996000,38499000,32945000,33927000
GainsLossesOnSalesOfInvestmentRealEstate,,,40999000,38859000,13145000
OtherOperatingIncomeExpenseNet,,,1210000,830000,942000
ProfitLoss,227807000,200548000,186274000,157638000,108391000
NetIncomeLossAttributableToNoncontrollingInterest,56000,57000,92000,81000,28000
NetIncomeLossAvailableToCommonStockholdersBasic,227751000,200491000,186182000,157557000,108363000
OtherComprehensiveIncomeLossNetOfTax,,,35069000,12054000,-13559000
ComprehensiveIncomeNetOfTax,224816000,189008000,221251000,169611000,94804000
EarningsPerShareBasic,4.67,4.43,4.37,3.91,2.77
WeightedAverageNumberOfSharesOutstandingBasic,48803000,45224000,42599000,40255000,39185000
EarningsPerShareDiluted,4.66,4.42,4.36,3.90,2.76
WeightedAverageNumberOfDilutedSharesOutstanding,48911000,45331000,42712000,40377000,39296000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,174212000,154030000,133915000,115078000,
DepreciationAndAmortization,189411000,171078000,153638000,127099000,
OtherCostOfOperatingRevenue,785000,582000,546000,700000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,8751000,17965000,40999000,38859000,
OtherNonoperatingIncome,2805000,2435000,1210000,830000,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationTax,-2935000,-11483000,35069000,12054000,
