key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
RentalProperties,4927921000,4853548000,,
DevelopmentInProcess,670250000,639647000,,
RealEstateInvestmentPropertyAtCost,5598171000,5493195000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,1299905000,1273723000,,
RealEstateInvestmentPropertyNet,4863000,19006000,,
EquityMethodInvestments,7816000,7539000,,
CashAndCashEquivalentsAtCarryingValue,15625000,40263000,,
OtherAssets,255298000,251939000,,
Assets,4577005000,4519213000,,
LineOfCredit,-1281000,-1520000,,
UnsecuredDebt,1572339000,1548655000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,155255000,146337000,,
OtherLiabilities,87099000,89415000,,
Liabilities,1917646000,1910579000,,
CommonStockValue,5000,5000,,
CommonStockOtherValueOutstanding,0,0,,
AdditionalPaidInCapitalCommonStock,2997210000,2949907000,,
AccumulatedDistributionsInExcessOfNetIncome,368954000,366473000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,30782000,24888000,26109000,36371000
StockholdersEquity,2659043000,2608327000,,
MinorityInterest,316000,307000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,316000,307000,2036382000,1953439000
LiabilitiesAndStockholdersEquity,4577005000,4519213000,,
CommonStockParOrStatedValuePerShare,0.0001,0.0001,,
CommonStockSharesAuthorized,70000000,70000000,,
CommonStockSharesIssued,48010613,47700432,,
CommonStockSharesOutstanding,48010613,47700432,,
ExcessSharesParValue,0.0001,0.0001,,
ExcessStockSharesAuthorized,30000000,30000000,,
ExcessStockSharesIssued,0,0,,
