key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,14000,,14000,
DepreciationDepletionAndAmortization,52520000,,45169000,
AllocatedShareBasedCompensationExpense,206000,,171000,
GainLossOnSaleOfProperties,0,8751000,8751000,
GainsLossesOnSalesOfInvestmentRealEstate,0,362000,222000,
GainLossOnCondemnation,1763000,,0,
IncreaseDecreaseInOperatingAssets,-168000,,-4485000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,18603000,,13851000,
OtherOperatingActivitiesCashFlowStatement,511000,,203000,
NetCashProvidedByUsedInOperatingActivities,133708000,,116900000,
PaymentsToDevelopRealEstateAssets,56346000,,57771000,
PaymentsToAcquireCommercialRealEstate,0,,54859000,
PaymentsForCapitalImprovements,19795000,,14829000,
ProceedsFromSaleOfRealEstateHeldforinvestment,0,,17397000,
PaymentsForLeaseCommissions,11085000,,6295000,
ProceedsFromInsuranceSettlementInvestingActivities,3099000,,0,
IncreaseDecreaseInRetainagePayable,7209000,,-7204000,
PaymentsForProceedsFromOtherInvestingActivities,804000,,329000,
NetCashProvidedByUsedInInvestingActivities,-76114000,,-123232000,
ProceedsFromUnsecuredLinesOfCredit,12406000,,19564000,
RepaymentsOfLinesOfCredit,-12406000,,-19564000,
RepaymentsOfUnsecuredDebt,50000000,,0,
PaymentsOfDebtIssuanceCosts,91000,,15000,
PaymentsOfOrdinaryDividends,73205000,,61442000,
ProceedsFromIssuanceOfCommonStock,72908000,,49364000,
PaymentsOfStockIssuanceCosts,59000,,70000,
ProceedsFromPaymentsForOtherFinancingActivities,-4161000,,-6143000,
NetCashProvidedByUsedInFinancingActivities,-54608000,,-18306000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,2986000,,-24638000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20515000,17529000,15625000,40263000
InterestPaidNet,2970000,,3788000,
OperatingLeasePayments,822000,,688000,
InterestPaidCapitalized,5160000,,4853000,
