key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
OperatingLeaseLeaseIncome,172644000,,154074000,
OtherOperatingIncome,1805000,,150000,
Revenues,174449000,,154224000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,46760000,,43003000,
DepreciationAndAmortization,52520000,,45169000,
GeneralAndAdministrativeExpense,7954000,,6681000,
OtherCostOfOperatingRevenue,263000,,177000,
CostsAndExpenses,107497000,,95030000,
InterestExpense,8025000,,10061000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,0,,8751000,
OtherNonoperatingIncome,510000,,774000,
ProfitLoss,14000,,14000,
NetIncomeLossAttributableToNoncontrollingInterest,14000,,14000,
NetIncomeLossAvailableToCommonStockholdersBasic,59423000,,58644000,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTaxNoncontrollingInterest,-6927000,,5894000,
ComprehensiveIncomeNetOfTax,52496000,,64538000,
EarningsPerShareBasic,1.14,,1.23,
WeightedAverageNumberOfSharesOutstandingBasic,51965000,,47860000,
EarningsPerShareDiluted,1.14,,1.22,
WeightedAverageNumberOfDilutedSharesOutstanding,52028000,,47961000,
