key,2024,2023,2022,2021,2020
Land,383808000,384097000,373171000,322623000,551578000
RentalProperties,1999525000,1960020000,1897835000,1642147000,2432039000
RealEstateInvestmentPropertyAtCost,2383333000,2344117000,2271006000,1964770000,2983617000
RealEstateInvestmentPropertyAccumulatedDepreciation,618299000,528024000,481588000,402560000,749014000
RealEstateInvestmentPropertyNet,1765034000,1816093000,1789418000,1562210000,2234603000
DevelopmentInProcess,30980000,30980000,31260000,30631000,37615000
RealEstateInvestments,1796014000,1847073000,1820678000,1592841000,2272218000
DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipmentNoncurrent,,,,0,0
CashAndCashEquivalentsAtCarryingValue,6144000,5984000,8389000,233600000,7700000
RestrictedCashAndCashEquivalents,2465000,2554000,1463000,620000,603000
AccountsAndNotesReceivableNet,12511000,17642000,16346000,15067000,58257000
PrepaidExpenseAndOtherAssets,28628000,26775000,25730000,33866000,71040000
DisposalGroupIncludingDiscontinuedOperationOtherAssets,,,,0,0
Assets,1845762000,1900028000,1872606000,1875994000,2409818000
NotesPayable,522953000,522345000,497359000,496946000,945370000
SecuredDebt,,,,,0
LineOfCredit,176000000,157000000,55000000,0,42000000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,36293000,38997000,34386000,40585000,58773000
DividendsPayableCurrentAndNoncurrent,15898000,15863000,14934000,14650000,25361000
AdvanceRent,6257000,5248000,1578000,2082000,7215000
SecurityDepositLiability,6283000,6225000,5563000,4669000,9990000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,,0,0
Liabilities,763684000,745678000,608820000,558932000,1088709000
PreferredStockValue,0,0,0,0,0
CommonStockValue,880000,879000,875000,863000,844000
AdditionalPaidInCapital,1740078000,1735530000,1729854000,1697477000,1649366000
AccumulatedDistributionsInExcessOfNetIncome,646095000,569391000,453008000,362494000,298860000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-13066000,-12958000,-14233000,-19091000,-30563000
StockholdersEquity,1081797000,1154060000,1263488000,1316755000,1320787000
MinorityInterest,281000,290000,298000,307000,322000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1082078000,1154350000,1263786000,1317062000,1321109000
LiabilitiesAndStockholdersEquity,1845762000,1900028000,1872606000,1875994000,2409818000
CommonStockSharesAuthorized,,,150000000,150000000,
