key,2024,2023,2022,2021,2020
NetIncomeLoss,-13103000,-52977000,-30868000,16384000,-15680000
DepreciationDepletionAndAmortization,95935000,88950000,91722000,95560000,120030000
ProvisionForDoubtfulAccounts,5164000,4833000,2483000,2482000,5422000
ImpairmentOfRealEstate,0,41860000,0,0,0
GainLossOnSaleOfProperties,,0,0,46441000,-15009000
ShareBasedCompensation,5218000,5538000,7988000,8553000,7874000
AmortizationOfFinancingCostsAndDiscounts,4421000,4218000,4052000,4325000,2794000
GainLossOnSaleOfDerivatives,,0,0,-5866000,-560000
GainsLossesOnExtinguishmentOfDebt,-147000,-54000,-4917000,-12727000,-34000
DiscontinuedOperationGainsLossesOnExtinguishmentOfDebt,,,,,0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,7258000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,-15794000
NetCashProvidedByUsedInOperatingActivities,95243000,84669000,73211000,89156000,112991000
PaymentsToAcquireCommercialRealEstate,0,107595000,204433000,153748000,0
ProceedsFromSaleOfPropertyHeldForSale,,0,0,897783000,152889000
PaymentsForCapitalImprovements,47390000,38218000,36513000,32410000,58095000
PaymentsToDevelopRealEstateAssets,0,0,698000,8406000,28812000
PaymentsToAcquireOtherProductiveAssets,212000,408000,1743000,49000,222000
NetCashProvidedByUsedInInvestingActivities,-43740000,-146221000,-241163000,702170000,65760000
RepaymentsOfLongTermLinesOfCredit,,,,,14000000
ProceedsFromLongTermLinesOfCredit,,,,-42000000,732000000
PaymentsOfDividends,63636000,64335000,59363000,90728000,99080000
RepaymentsOfSecuredDebt,0,0,76598000,0,46567000
ProceedsFromNotesPayable,,,0,0,350000000
RepaymentsOfNotesPayable,,0,0,311894000,250000000
RepaymentsOfUnsecuredDebt,0,100000000,0,150000000,300000000
ProceedsFromIssuanceOfUnsecuredDebt,0,125000000,0,0,150000000
PaymentsForHedgeFinancingActivities,,0,0,5866000,20948000
PaymentOfFinancingAndStockIssuanceCosts,5676000,844000,39000,4858000,3284000
PaymentsToMinorityShareholders,9000,8000,9000,15000,14000
ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,0,497000,1030000,1744000,2121000
ProceedsFromIssuanceOfCommonStock,,,,,48355000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1111000,2072000,3286000,2241000,1782000
NetCashProvidedByUsedInFinancingActivities,-51432000,60238000,-56416000,-565396000,-185199000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,71000,-1314000,-224368000,225930000,-6448000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,8609000,8538000,9852000,234220000,8303000
InterestPaidNet,32220000,23502000,20842000,27166000,37542000
ChangeInAccruedCapitalImprovementAndDevelopmentCosts,-7864000,9556000,609000,-6949000,-5850000
DividendsPayableCurrentAndNoncurrent,15898000,15863000,14934000,14650000,25361000
CashAndCashEquivalentsAtCarryingValue,6144000,5984000,8389000,233600000,7700000
RestrictedCashAndCashEquivalents,2465000,2554000,1463000,620000,603000
IncreaseDecreaseInOtherOperatingAssets,6894000,11294000,1602000,4681000,7271000
IncreaseDecreaseInOtherOperatingLiabilities,5765000,3487000,-5481000,-5619000,-15794000
PaymentsForDepositsOnRealEstateAcquisitions,,0,0,1000000,0
ProceedsFromIssuanceOfStock,0,0,26849000,40462000,48355000
ProceedsFromInsuranceSettlementInvestingActivities,0,0,2224000,0,0
ProceedsFromRepaymentsOfLinesOfCredit,19000000,102000000,55000000,-42000000,-14000000
GainLossOnLandEasement,1410000,0,0,,
ProceedsFromLandEasement,3862000,0,0,,
