key,2024,2023,2022,2021,2020
Revenues,241935000,227911000,209380000,169151000,294118000
CostOfGoodsAndServicesSold,,,,,112909000
DepreciationAndAmortization,95935000,88950000,91722000,72656000,120030000
ImpairmentOfRealEstate,0,41860000,0,0,0
GeneralAndAdministrativeExpense,24969000,25887000,28258000,27538000,23951000
CostsAndExpenses,218466000,250974000,211103000,173744000,256890000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,-15009000
OperatingIncomeLoss,23469000,-23063000,-1723000,-4593000,22219000
InterestExpense,,30429000,24940000,34063000,37305000
DerivativeLossOnDerivative,,0,0,5866000,560000
GainsLossesOnExtinguishmentOfDebt,-147000,-54000,-4917000,-12727000,-34000
NonoperatingIncomeExpense,-36572000,-29914000,-29145000,-48547000,-37899000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,-52977000,-30868000,-53140000,-15680000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,0,0,23083000,0
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,0,0,46441000,0
DiscontinuedOperationGainsLossesOnExtinguishmentOfDebt,,,,0,0
IncomeLossFromDiscontinuedOperationsNetOfTax,,0,0,69524000,0
NetIncomeLoss,-13103000,-52977000,-30868000,16384000,-15680000
IncomeLossFromContinuingOperationsPerBasicShare,,-0.61,-0.36,-0.63,-0.20
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0,0,0.82,0
EarningsPerShareBasic,-0.15,-0.61,-0.36,0.19,-0.20
IncomeLossFromContinuingOperationsPerDilutedShare,,-0.61,-0.36,-0.63,-0.20
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0,0,0.82,0
EarningsPerShareDiluted,-0.15,-0.61,-0.36,0.19,-0.20
WeightedAverageNumberOfSharesOutstandingBasic,87920000,87735000,87388000,84544000,82348000
WeightedAverageNumberOfDilutedSharesOutstanding,87920000,87735000,87388000,84544000,82348000
PropertyOperatingAndMaintenance,56282000,50985000,47530000,38741000,39625000
RealEstateTaxesAndInsurance,32419000,28845000,26471000,22041000,23357000
CostsOfGoodsAndServicesSoldPropertyManagement,8861000,8108000,7436000,6133000,6145000
TransformationCosts,0,6339000,9686000,6635000,0
GainsLossesOnSalesOfInvestmentRealEstate,,,0,0,-15009000
GainLossOnExtinguishmentOfDebtContinuingOperations,,,-4917000,-12727000,-34000
OtherNonoperatingIncome,1410000,569000,712000,4109000,0
InterestExpenseNonoperating,37835000,30429000,24940000,,
