key,2024,2023,2022
Land,383808000,384097000,
RentalProperties,1999525000,1960020000,
RealEstateInvestmentPropertyAtCost,2383333000,2344117000,
RealEstateInvestmentPropertyAccumulatedDepreciation,618299000,528024000,
RealEstateInvestmentPropertyNet,1765034000,1816093000,
DevelopmentInProcess,30980000,30980000,
RealEstateInvestments,1796014000,1847073000,
CashAndCashEquivalentsAtCarryingValue,6144000,5984000,8389000
RestrictedCashAndCashEquivalents,2465000,2554000,1463000
AccountsAndNotesReceivableNet,12511000,17642000,
PrepaidExpenseAndOtherAssets,28628000,26775000,
Assets,1845762000,1900028000,1691176000
NotesPayable,522953000,522345000,42800000
LineOfCredit,176000000,157000000,55000000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,36293000,38997000,
DividendsPayableCurrentAndNoncurrent,15898000,15863000,14934000
AdvanceRent,6257000,5248000,
SecurityDepositLiability,6283000,6225000,
Liabilities,763684000,745678000,
PreferredStockValue,0,0,
CommonStockValue,880000,879000,
AdditionalPaidInCapital,1740078000,1735530000,
AccumulatedDistributionsInExcessOfNetIncome,646095000,569391000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-13066000,-12958000,
StockholdersEquity,1081797000,1154060000,
MinorityInterest,281000,290000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1082078000,1154350000,875000
LiabilitiesAndStockholdersEquity,1845762000,1900028000,
