key,2024,2023,2022
NetIncomeLoss,-13103000,-52977000,-30868000
DepreciationDepletionAndAmortization,95935000,88950000,91722000
ProvisionForDoubtfulAccounts,5164000,4833000,2483000
ImpairmentOfRealEstate,0,41860000,0
ShareBasedCompensation,5218000,5538000,7988000
AmortizationOfFinancingCostsAndDiscounts,4421000,4218000,4052000
GainsLossesOnExtinguishmentOfDebt,-147000,-54000,-4917000
GainLossOnLandEasement,1410000,0,0
IncreaseDecreaseInOtherOperatingAssets,6894000,11294000,1602000
IncreaseDecreaseInOtherOperatingLiabilities,5765000,3487000,-5481000
NetCashProvidedByUsedInOperatingActivities,95243000,84669000,73211000
PaymentsToAcquireCommercialRealEstate,0,107595000,204433000
PaymentsForCapitalImprovements,47390000,38218000,36513000
PaymentsToDevelopRealEstateAssets,0,0,698000
PaymentsToAcquireOtherProductiveAssets,212000,408000,1743000
ProceedsFromInsuranceSettlementInvestingActivities,0,0,2224000
ProceedsFromLandEasement,3862000,0,0
NetCashProvidedByUsedInInvestingActivities,-43740000,-146221000,-241163000
ProceedsFromRepaymentsOfLinesOfCredit,19000000,102000000,55000000
PaymentsOfDividends,63636000,64335000,59363000
RepaymentsOfSecuredDebt,0,0,76598000
RepaymentsOfUnsecuredDebt,0,100000000,0
ProceedsFromIssuanceOfUnsecuredDebt,0,125000000,0
PaymentOfFinancingAndStockIssuanceCosts,5676000,844000,39000
PaymentsToMinorityShareholders,9000,8000,9000
ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,0,497000,1030000
ProceedsFromIssuanceOfStock,0,0,26849000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1111000,2072000,3286000
NetCashProvidedByUsedInFinancingActivities,-51432000,60238000,-56416000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,71000,-1314000,-224368000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,8609000,8538000,9852000
InterestPaidNet,32220000,23502000,20842000
ChangeInAccruedCapitalImprovementAndDevelopmentCosts,-7864000,9556000,609000
DividendsPayableCurrentAndNoncurrent,15898000,15863000,14934000
CashAndCashEquivalentsAtCarryingValue,6144000,5984000,8389000
RestrictedCashAndCashEquivalents,2465000,2554000,1463000
