key,2024,2023,2022
Revenues,241935000,227911000,209380000
TypeOfRevenueExtensibleList,,,
PropertyOperatingAndMaintenance,56282000,50985000,47384000
RealEstateTaxesAndInsurance,32419000,28845000,26617000
CostsOfGoodsAndServicesSoldPropertyManagement,8861000,8108000,7436000
GeneralAndAdministrativeExpense,24969000,25887000,28258000
TransformationCosts,0,6339000,9686000
DepreciationAndAmortization,95935000,88950000,91722000
ImpairmentOfRealEstate,0,41860000,0
CostsAndExpenses,218466000,250974000,211103000
OperatingIncomeLoss,23469000,-23063000,-1723000
InterestExpenseNonoperating,37835000,30429000,24940000
GainsLossesOnExtinguishmentOfDebt,-147000,-54000,-4917000
OtherNonoperatingIncome,1410000,569000,712000
NonoperatingIncomeExpense,-36572000,-29914000,-29145000
NetIncomeLoss,-13103000,-52977000,-30868000
EarningsPerShareBasic,-0.15,-0.61,-0.36
EarningsPerShareDiluted,-0.15,-0.61,-0.36
WeightedAverageNumberOfSharesOutstandingBasic,87920000,87735000,87388000
WeightedAverageNumberOfDilutedSharesOutstanding,87920000,87735000,87388000
