key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
NetIncomeLoss,-3647000,,-3643000,
DepreciationDepletionAndAmortization,24943000,,21536000,
ProvisionForDoubtfulAccounts,1451000,,703000,
ShareBasedCompensation,1090000,,1188000,
AmortizationOfFinancingCostsAndDiscounts,1058000,,1048000,
GainsLossesOnExtinguishmentOfDebt,0,,-54000,
GainLossOnLandEasement,1410000,,0,
IncreaseDecreaseInOtherOperatingAssets,941000,,872000,
IncreaseDecreaseInOtherOperatingLiabilities,-1328000,,-3725000,
NetCashProvidedByUsedInOperatingActivities,21216000,,16289000,
PaymentsForCapitalImprovements,13617000,,5569000,
PaymentsToAcquireOtherProductiveAssets,5000,,222000,
ProceedsFromLandEasement,3862000,,0,
NetCashProvidedByUsedInInvestingActivities,-9760000,,-5791000,
ProceedsFromRepaymentsOfLinesOfCredit,3000000,,-20000000,
PaymentsOfDividends,15911000,,14917000,
RepaymentsOfUnsecuredDebt,0,,100000000,
ProceedsFromIssuanceOfUnsecuredDebt,0,,125000000,
PaymentOfFinancingAndStockIssuanceCosts,0,,844000,
PaymentsToMinorityShareholders,2000,,2000,
ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,0,,248000,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,178000,,1304000,
NetCashProvidedByUsedInFinancingActivities,-13091000,,-11819000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-1635000,,-1321000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,6903000,8538000,8531000,9852000
InterestPaidNet,11972000,,8954000,
ChangeInAccruedCapitalImprovementAndDevelopmentCosts,-7309000,,216000,
DividendsPayableCurrentAndNoncurrent,15888000,15863000,15869000,
CashAndCashEquivalentsAtCarryingValue,4199000,5984000,7044000,
RestrictedCashAndCashEquivalents,2704000,2554000,1487000,
