key,2024-09-30,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2022-12-31
NetIncomeLoss,-2970000,,,-43618000,,
DepreciationDepletionAndAmortization,72312000,,,64855000,,
ProvisionForDoubtfulAccounts,4046000,,,2876000,,
ImpairmentOfRealEstate,0,,,41860000,,
ShareBasedCompensation,3714000,,,4031000,,
AmortizationOfFinancingCostsAndDiscounts,3268000,,,3160000,,
GainsLossesOnExtinguishmentOfDebt,-147000,,,-54000,,
GainLossOnLandEasement,1410000,,,0,,
IncreaseDecreaseInOtherOperatingAssets,3239000,,,10591000,,
IncreaseDecreaseInOtherOperatingLiabilities,1989000,,,5443000,,
NetCashProvidedByUsedInOperatingActivities,70739000,,,61816000,,
PaymentsToAcquireCommercialRealEstate,0,,,107595000,,
PaymentsForCapitalImprovements,33356000,,,22293000,,
PaymentsToAcquireOtherProductiveAssets,128000,,,395000,,
ProceedsFromLandEasement,3862000,,,0,,
NetCashProvidedByUsedInInvestingActivities,-29622000,,,-130283000,,
ProceedsFromRepaymentsOfLinesOfCredit,11000000,,,94000000,,
PaymentsOfDividends,47749000,,,48495000,,
RepaymentsOfUnsecuredDebt,0,,,100000000,,
ProceedsFromIssuanceOfUnsecuredDebt,0,,,125000000,,
PaymentOfFinancingAndStockIssuanceCosts,5500000,,,844000,,
PaymentsToMinorityShareholders,7000,,,6000,,
ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,0,,,497000,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,201000,,,1354000,,
NetCashProvidedByUsedInFinancingActivities,-42457000,,,68798000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-1340000,,,331000,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,7198000,,8538000,10183000,,9852000
InterestPaidNet,28140000,,,20066000,,
ChangeInAccruedCapitalImprovementAndDevelopmentCosts,-6749000,,,7343000,,
DividendsPayableCurrentAndNoncurrent,15906000,,15863000,15868000,,
CashAndCashEquivalentsAtCarryingValue,4840000,,5984000,8079000,,
RestrictedCashAndCashEquivalents,2358000,,2554000,2104000,,
