key,2024-09-30,2024-06-30,2023-12-31,2023-09-30,2023-06-30,2022-12-31
Revenues,13881000,,,13903000,,
PropertyOperatingAndMaintenance,41555000,,,38360000,,
RealEstateTaxesAndInsurance,24404000,,,21216000,,
CostsOfGoodsAndServicesSoldPropertyManagement,6628000,,,5882000,,
GeneralAndAdministrativeExpense,18688000,,,19891000,,
TransformationCosts,0,,,6339000,,
DepreciationAndAmortization,72312000,,,64855000,,
ImpairmentOfRealEstate,0,,,41860000,,
CostsAndExpenses,163587000,,,198403000,,
OperatingIncomeLoss,17084000,,,-29344000,,
InterestExpenseNonoperating,28435000,,,21043000,,
GainsLossesOnExtinguishmentOfDebt,-147000,,,-54000,,
OtherNonoperatingIncome,1410000,,,569000,,
NonoperatingIncomeExpense,-27172000,,,-20528000,,
NetIncomeLoss,-2970000,,,-43618000,,
EarningsPerShareBasic,-0.12,,,-0.57,,
EarningsPerShareDiluted,-0.12,,,-0.57,,
WeightedAverageNumberOfSharesOutstandingBasic,87909000,,,87717000,,
WeightedAverageNumberOfDilutedSharesOutstanding,87909000,,,87717000,,
