key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
Land,383808000,383808000,,
RentalProperties,2004162000,1999525000,,
RealEstateInvestmentPropertyAtCost,2387970000,2383333000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,640061000,618299000,,
RealEstateInvestmentPropertyNet,1747909000,1765034000,,
DevelopmentInProcess,30400000,30980000,,
RealEstateInvestments,1778889000,1796014000,,
CashAndCashEquivalentsAtCarryingValue,6396000,6144000,4199000,
RestrictedCashAndCashEquivalents,2556000,2465000,2704000,
AccountsAndNotesReceivableNet,12206000,12511000,,
PrepaidExpenseAndOtherAssets,27532000,28628000,,
Assets,123699000,1845762000,1876539000,
NotesPayable,523061000,522953000,,
LineOfCredit,182000000,176000000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,31082000,36293000,,
DividendsPayableCurrentAndNoncurrent,15943000,15898000,15888000,
AdvanceRent,6010000,6257000,,
SecurityDepositLiability,6282000,6283000,,
Liabilities,764378000,763684000,,
PreferredStockValue,0,0,,
CommonStockValue,882000,880000,,
AdditionalPaidInCapital,1741220000,1740078000,,
AccumulatedDistributionsInExcessOfNetIncome,666713000,646095000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-12467000,-13066000,,
StockholdersEquity,1062922000,1081797000,,
MinorityInterest,279000,281000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,279000,281000,1136404000,1154350000
LiabilitiesAndStockholdersEquity,1827579000,1845762000,,
