key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
Revenues,4486000,,4642000,
PropertyOperatingAndMaintenance,14175000,,13464000,
RealEstateTaxesAndInsurance,7819000,,8255000,
CostsOfGoodsAndServicesSoldPropertyManagement,2246000,,2218000,
GeneralAndAdministrativeExpense,9229000,,6196000,
DepreciationAndAmortization,23239000,,24943000,
CostsAndExpenses,56708000,,55076000,
OperatingIncomeLoss,4785000,,4437000,
InterestExpenseNonoperating,9460000,,9494000,
OtherNonoperatingIncome,0,,1410000,
NonoperatingIncomeExpense,-9460000,,-8084000,
NetIncomeLoss,-4675000,,-3647000,
EarningsPerShareBasic,-0.05,,-0.04,
EarningsPerShareDiluted,-0.05,,-0.04,
WeightedAverageNumberOfSharesOutstandingBasic,88064000,,87885000,
WeightedAverageNumberOfDilutedSharesOutstanding,88064000,,87885000,
