key,2024,2023,2022,2021,2020
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,3588000000,8051000000,1804000000,2354000000,3315000000
AccountsReceivableNetCurrent,2927000000,2518000000,3008000000,2971000000,
InventoryNet,2180000000,2006000000,2191000000,2050000000,
OtherAssetsCurrent,1497000000,1244000000,1503000000,1057000000,
AssetsCurrent,10192000000,13819000000,8506000000,8432000000,
PropertyPlantAndEquipmentNet,2807000000,2363000000,3361000000,3738000000,
Goodwill,18067000000,14480000000,14662000000,7723000000,967000000
IntangibleAssetsNetExcludingGoodwill,10436000000,6263000000,6724000000,2877000000,
OtherAssetsNoncurrent,2744000000,2566000000,2419000000,1945000000,
AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,31247000000,26564000000,23805000000,12545000000,
Assets,44246000000,42746000000,35672000000,24715000000,13704000000
DebtCurrent,532000000,547000000,2115000000,872000000,
AccountsPayableCurrent,1335000000,1275000000,2028000000,2108000000,
AccruedLiabilitiesCurrent,3875000000,3210000000,3634000000,3266000000,
LiabilitiesCurrent,5742000000,5032000000,7777000000,6246000000,
LongTermDebtNoncurrent,7155000000,7610000000,8259000000,5793000000,
LiabilitiesOtherThanLongtermDebtNoncurrent,,,3320000000,2753000000,
CommonStockValue,477000000,477000000,477000000,477000000,
AdditionalPaidInCapital,169000000,62000000,57000000,522000000,
RetainedEarningsAccumulatedDeficit,40830000000,40070000000,28053000000,26047000000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-868000000,-1253000000,-1485000000,-872000000,-1577000000
StockholdersEquityBeforeTreasuryStock,,,27102000000,26174000000,
TreasuryStockValue,18972000000,18667000000,16738000000,16291000000,
StockholdersEquity,21636000000,20689000000,10364000000,9883000000,8405000000
MinorityInterest,5873000000,5909000000,5952000000,40000000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,27509000000,26598000000,16316000000,9923000000,477000000
LiabilitiesAndStockholdersEquity,44246000000,42746000000,35672000000,24715000000,
CommonStockParOrStatedValuePerShare,,,0.50,0.50,
CommonStockSharesAuthorized,,,1200000000,1200000000,
CommonStockSharesIssued,,,953400000,953400000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,0,1398000000,,
EquityMethodInvestmentsAndFinancingReceivableAfterAllowanceForCreditLoss,0,3255000000,0,,
DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,,0,2258000000,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,0,1348000000,,
OtherLiabilitiesNoncurrent,3840000000,3506000000,3153000000,,
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,0,167000000,,
