key,2024,2023,2022,2021,2020
ProfitLoss,1955000000,13200000000,3230000000,2327000000,1990000000
DepreciationDepletionAndAmortization,1689000000,1051000000,1039000000,969000000,854000000
ShareBasedCompensation,260000000,250000000,144000000,224000000,110000000
DefinedBenefitPlanNetPeriodicBenefitCost,,,2000000,28000000,67000000
PensionContributions,45000000,40000000,43000000,41000000,66000000
IncreaseDecreaseInOperatingCapital,151000000,190000000,515000000,-203000000,-148000000
GainFromPeriodicDistributionFromRetainedSubordinatedInterestInVertivVRT,,,453000000,0,0
GainOnSaleOfBusinessTOD,,,486000000,0,0
OtherOperatingActivitiesCashFlowStatement,-400000000,-237000000,4000000,-135000000,-20000000
NetCashProvidedByUsedInOperatingActivities,3332000000,637000000,2922000000,3575000000,3083000000
PaymentsToAcquirePropertyPlantAndEquipment,419000000,363000000,531000000,581000000,538000000
PaymentsToAcquireBusinessesNetOfCashAcquired,8342000000,705000000,5702000000,1611000000,126000000
ProceedsFromDivestitureOfBusinessesNetOfCashDivested,,,601000000,34000000,0
PeriodicDistributionFromRetainedSubordinatedInterestInVertivVRT,,,438000000,0,0
PaymentsForProceedsFromOtherInvestingActivities,114000000,141000000,140000000,-38000000,76000000
NetCashProvidedByUsedInInvestingActivities,-5360000000,12415000000,-5334000000,-2120000000,-740000000
ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,-15000000,-1578000000,1241000000,-504000000,-90000000
ProceedsFromShortTermDebtMaturingInMoreThanThreeMonths,322000000,395000000,1162000000,71000000,1043000000
RepaymentsOfShortTermDebtMaturingInMoreThanThreeMonths,327000000,400000000,1165000000,71000000,1043000000
ProceedsFromIssuanceOfLongTermDebt,0,0,2975000000,0,2233000000
RepaymentsOfLongTermDebt,547000000,741000000,522000000,308000000,503000000
PaymentsOfDividendsCommonStock,1201000000,1198000000,1223000000,1210000000,1209000000
PaymentsForRepurchaseOfCommonStock,435000000,2000000000,500000000,500000000,942000000
ProceedsFromPaymentsForOtherFinancingActivities,-44000000,-169000000,80000000,100000000,2000000
NetCashProvidedByUsedInFinancingActivities,-2455000000,-6823000000,2048000000,-2422000000,-509000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-4463000000,6247000000,-550000000,-961000000,1821000000
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,20000000,18000000,-186000000,6000000,-13000000
CashAndCashEquivalentsAtCarryingValue,,,,2354000000,3315000000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,3588000000,8051000000,1804000000,2354000000,3315000000
IncreaseDecreaseInReceivables,99000000,191000000,214000000,165000000,-207000000
IncreaseDecreaseInInventories,-122000000,160000000,469000000,126000000,6000000
IncreaseDecreaseInOtherCurrentAssets,149000000,1000000,65000000,99000000,-33000000
IncreaseDecreaseInAccountsPayable,-16000000,-17000000,122000000,370000000,-196000000
IncreaseDecreaseInAccruedLiabilities,-9000000,179000000,111000000,223000000,110000000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,350000000,11073000000,1347000000,911000000,
PensionExpenseReversalOfExpenseNoncash,-79000000,-71000000,2000000,28000000,
GainFromPeriodicDistributionFromRetainedSubordinatedInterest,79000000,161000000,453000000,0,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,3317000000,2726000000,2048000000,2458000000,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,15000000,-2089000000,874000000,1117000000,
ProceedsFromDivestitureOfBusinesses,0,0,17000000,30000000,
ProceedsFromSubordinatedInterest,79000000,176000000,438000000,0,
ProceedsFromCollectionOfNotesReceivable,0,918000000,0,0,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-8796000000,-115000000,-5684000000,-1991000000,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,3436000000,12530000000,350000000,-129000000,
PaymentsForRepurchaseOfCommonStockBySubsidiary,208000000,214000000,0,0,
RepaymentsOfNotesPayable,0,918000000,0,0,
AmortizationOfAcquisitionCosts,231000000,0,0,,
IncomeLossOnEquityMethodInvestmentNoteReceivable,-279000000,0,0,,
