key,2024,2023,2022,2021,2020
RevenueFromContractWithCustomerExcludingAssessedTax,17492000000,15165000000,19629000000,18236000000,16785000000
CostOfGoodsAndServicesSold,8607000000,7738000000,11441000000,10673000000,9776000000
SellingGeneralAndAdministrativeExpense,5142000000,4186000000,4248000000,4179000000,3986000000
GainFromPeriodicDistributionFromRetainedSubordinatedInterestInVertivVRT,,,453000000,0,0
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,486000000,0,0
OtherDeductionsNet,1434000000,683000000,601000000,318000000,532000000
InterestIncomeExpenseNonoperatingNet,-175000000,-34000000,-193000000,-154000000,-156000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,2020000000,2726000000,4085000000,2912000000,2335000000
IncomeTaxExpenseBenefit,415000000,599000000,855000000,585000000,345000000
ProfitLoss,1955000000,13200000000,3230000000,2327000000,1990000000
NetIncomeLossAttributableToNoncontrollingInterest,-13000000,-19000000,-1000000,24000000,25000000
NetIncomeLoss,1968000000,13219000000,3231000000,2303000000,1965000000
EarningsPerShareBasic,3.44,23.00,5.44,3.85,3.26
EarningsPerShareDiluted,3.43,22.88,5.41,3.82,3.24
WeightedAverageNumberOfSharesOutstandingBasic,571300000,574200000,592900000,598100000,602900000
WeightedAverageNumberOfDilutedSharesOutstanding,574000000.0,577300000,596300000,601800000,606600000
GainFromPeriodicDistributionFromRetainedSubordinatedInterest,79000000,161000000,453000000,0,
InterestIncomeOperating,86000000,41000000,0,0,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1605000000,2127000000,1883000000,1416000000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,350000000,11073000000,1347000000,911000000,
IncomeLossFromContinuingOperations,1618000000,2152000000,1886000000,1414000000,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,350000000,11067000000,1345000000,889000000,
IncomeLossFromContinuingOperationsPerBasicShare,2.83,3.74,3.17,2.36,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.61,19.26,2.27,1.49,
IncomeLossFromContinuingOperationsPerDilutedShare,2.82,3.72,3.16,2.35,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.61,19.16,2.25,1.47,
IncomeLossOnEquityMethodInvestmentNoteReceivable,-279000000,0,0,,
