key,2024-03-31,2023-12-31,2023-10-11,2023-09-30,2023-03-31,2022-12-31,2022-09-30
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2318000000,,,8051000000,,,
AccountsReceivableNetCurrent,2877000000,,,2518000000,,,
InventoryNet,2357000000,,,2006000000,,,
OtherAssetsCurrent,1457000000,,,1244000000,,,
AssetsCurrent,9009000000,,,13819000000,,,
PropertyPlantAndEquipmentNet,2689000000,,,2363000000,,,
Goodwill,12415000000,,3407000000,8995000000,,,
IntangibleAssetsNetExcludingGoodwill,10976000000,,,6263000000,,,
EquityMethodInvestmentsAndFinancingReceivableAfterAllowanceForCreditLoss,3191000000,,,3255000000,,,
OtherAssetsNoncurrent,2611000000,,,2566000000,,,
AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,34742000000,,,26564000000,,,
Assets,46440000000,,,42746000000,,,
DebtCurrent,3155000000,,,547000000,,,
AccountsPayableCurrent,1271000000,,,1275000000,,,
AccruedLiabilitiesCurrent,3238000000,,,3210000000,,,
LiabilitiesCurrent,7664000000,,,5032000000,,,
LongTermDebtNoncurrent,7614000000,,,7610000000,,,
OtherLiabilitiesNoncurrent,4381000000,,,3506000000,,,
CommonStockValue,477000000,,,477000000,,,
AdditionalPaidInCapital,158000000,,,62000000,,,
RetainedEarningsAccumulatedDeficit,40108000000,,,40070000000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1097000000,,,-1253000000,,,
TreasuryStockCommonValue,18746000000,,,18667000000,,,
StockholdersEquity,20900000000,,,20689000000,,,
MinorityInterest,5881000000,,,5909000000,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8000000,9000000,,6000000,25000000,12000000,2000000
LiabilitiesAndStockholdersEquity,46440000000,,,42746000000,,,
