key,2024-03-31,2023-12-31,2023-10-11,2023-09-30,2023-03-31,2022-12-31,2022-09-30
RevenueFromContractWithCustomerExcludingAssessedTax,-36000000,,,170000000,-36000000,,
CostOfGoodsAndServicesSold,4293000000,,,,3708000000,,
SellingGeneralAndAdministrativeExpense,2573000000,,,,2030000000,,
GainFromPeriodicDistributionFromRetainedSubordinatedInterestInVertivVRT,79000000,,,,0,,
OtherDeductionsNet,876000000,,,,229000000,,
InterestIncomeExpenseNonoperatingNet,-101000000,,,,-101000000,,
InterestIncomeOperating,62000000,,,,0,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-502000000,,,,-111000000,,
IncomeTaxExpenseBenefit,-22000000,,,,232000000,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-240000000,,,,829000000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,0,,,,2130000000,,
ProfitLoss,-240000000,,,,3096000000,,
NetIncomeLossAttributableToNoncontrollingInterest,-8000000,,,,-27000000,,
NetIncomeLoss,-238000000,,,,3123000000,,
IncomeLossFromContinuingOperations,643000000,,,,859000000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0,,,,2264000000,,
IncomeLossFromContinuingOperationsPerBasicShare,1.12,,,,1.49,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0,,,,3.92,,
EarningsPerShareBasic,1.12,,,,5.41,,
IncomeLossFromContinuingOperationsPerDilutedShare,1.12,,,,1.48,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0,,,,3.90,,
EarningsPerShareDiluted,1.12,,,,5.38,,
WeightedAverageNumberOfSharesOutstandingBasic,571100000,,,,577200000,,
WeightedAverageNumberOfDilutedSharesOutstanding,573700000,,,,580100000,,
