key,2024,2023,2022,2021,2020
RealEstateInvestmentPropertyNet,4435358000,4537359000,4714136000,4713091000,
LandAvailableForDevelopment,20168000,20168000,20168000,20168000,
DevelopmentInProcess,112263000,131265000,76029000,42362000,
OperatingLeaseRightOfUseAsset,173364000,186628000,200985000,180808000,
NotesAndLoansReceivableNetCurrent,665796000,569768000,457268000,370159000,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,52964000,36670000,
CashAndCashEquivalentsAtCarryingValue,22062000,78079000,107934000,288822000,1025577000
RestrictedCashAndCashEquivalents,13637000,2902000,2577000,1079000,2433000
AccountsReceivableNet,84589000,63655000,53587000,78073000,
OtherAssets,75251000,61307000,73053000,69918000,
Assets,5616507000,5700885000,5758701000,5801150000,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,107976000,94927000,80087000,73462000,
OperatingLeaseLiability,212400000,226961000,241407000,218795000,
DividendsPayableCurrent,25831000,25275000,21405000,18896000,
PreferredDividendsPayableCurrentAndNoncurrent,6032000,6032000,6033000,6034000,
DeferredRevenue,80565000,77440000,63939000,61559000,
LongTermDebt,2860458000,2816095000,2810111000,2804365000,
Liabilities,3293262000,3246730000,3222982000,3183111000,
CommonStockValue,836000,829000,825000,822000,
PreferredStockValue,54000,54000,54000,54000,
AdditionalPaidInCapital,3950528000,3924467000,3899732000,3876817000,
TreasuryStockValue,285413000,274038000,269751000,264817000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3756000,3296000,1897000,9955000,
AccumulatedDistributionsInExcessOfNetIncome,1339098000,1200547000,1097132000,1004886000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2323245000,2454155000,2535719000,2618039000,-2163000
LiabilitiesAndStockholdersEquity,5616507000,5700885000,5758701000,5801150000,
RealEstateInvestmentPropertyAccumulatedDepreciation,,,1302640000,1167734000,
CommonStockParOrStatedValuePerShare,,,0.01,0.01,
CommonStockSharesAuthorized,,,100000000,100000000,
CommonStockSharesIssued,,,82545501,82225061,
PreferredStockParOrStatedValuePerShare,,,0.01,0.01,
PreferredStockSharesAuthorized,,,25000000,25000000,
PreferredStockSharesIssued,,,5392916,5392916,
AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,,,86184525,134822900,
TreasuryStockShares,,,7520227,7416746,
RealEstateInvestmentsJointVentures,14019000,49754000,52964000,,
