key,2024,2023,2022,2021,2020
ProfitLoss,146066000,173046000,176229000,98606000,-131728000
Assetimpairmentchargescontanddiscops,,,27349000,2711000,85657000
ImpairmentLossesRelatedToRealEstatePartnerships,,0,647000,0,3247000
GainLossOnDispositionOfAssets,16101000,-2197000,651000,17881000,50119000
Gainoninsurancerecovery,,,552000,1181000,809000
DeferredIncomeTaxExpenseBenefit,-1539000,-344000,-169000,0,15246000
ProvisionForLoanLossesExpensed,12247000,878000,10816000,-21972000,30695000
Writeoffofdeferreddebtissuancecostcontanddisc,,,0,25451000,1632000
IncomeLossFromEquityMethodInvestments,-8809000,-6768000,-1672000,-5059000,-4552000
EquityMethodInvestmentDividendsOrDistributions,0,1300000,780000,90000,0
Depreciationandamortcontanddiscops,,,163652000,163770000,170333000
AmortizationOfFinancingCosts,8844000,8637000,8360000,7666000,6606000
AmortizationOfAboveAndBelowMarketLeases,-333000,-535000,-355000,-385000,-480000
ShareBasedPaymentArrangementNoncashExpenseManagementAndTrustees,,,16666000,14903000,13819000
RestrictedStockExpense,,,0,0,1258000
IncreaseDecreaseinOperatingLeaseAssetsandLiabilitiesNet,-1299000,-6000,463000,-551000,344000
IncreaseDecreaseInMortgageNotesAccruedInterestReceivable,2171000,1231000,500000,-568000,7576000
IncreaseDecreaseInAccountsReceivable,22031000,10091000,-25974000,-36821000,47383000
IncreaseDecreaseInOtherOperatingAssets,7935000,2738000,473000,1282000,2698000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,11950000,8488000,14576000,-8653000,-16128000
IncreaseDecreaseInDeferredRevenue,-5085000,7510000,-2768000,3185000,-11195000
NetCashProvidedByUsedInOperatingActivities,393137000,447094000,441716000,306925000,65273000
PaymentsToAcquireProductiveAssets,45706000,60703000,174533000,56556000,38714000
ProceedsFromSaleOfProductiveAssets,74421000,57160000,10965000,96137000,227742000
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,1290000,4859000,26088000,13611000,1690000
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,0,0,6695000,0,0
PaymentsForProceedsFromHedgeInvestingActivities,,,3830000,0,0
PaymentsToAcquireMortgageNotesReceivable,113939000,110428000,95234000,8664000,8141000
ProceedsFromSaleAndCollectionOfMortgageNotesReceivable,618000,552000,1749000,8242000,481000
PaymentsToAcquireNotesReceivable,0,3025000,0,4379000,6134000
ProceedsFromSaleAndCollectionOfNotesReceivable,1406000,1386000,701000,8816000,103000
Proceedsfrominsurancerecovery,,,3700000,1181000,809000
PaymentsToDevelopRealEstateAssets,102265000,91153000,75710000,29304000,40470000
NetCashProvidedByUsedInInvestingActivities,-176352000,-201048000,-351585000,1862000,133986000
ProceedsFromIssuanceOfLongTermDebt,244000000,0,0,400000000,750000000
RepaymentsOfLongTermDebt,205638000,0,0,1288765000,160000000
PaymentsOfFinancingCosts,0,369000,328000,15212000,6330000
ProceedsFromPaymentsForOtherFinancingActivities,-9534000,0,0,-22865000,-1632000
ProceedsFromIssuanceOfCommonStock,816000,615000,758000,460000,972000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,0,0,11000,2000,0
IssuancesOfCaptiveREITPreferredShares,0,0,107000,0,0
PaymentsForRepurchaseOfCommonStock,11375000,3696000,4257000,2763000,7387000
Paymentsforrepurchaseofcommonstockrepurchaseprogram,,,0,0,105994000
PaymentsOfDividends,279888000,272245000,265661000,117531000,172460000
NetCashProvidedByUsedInFinancingActivities,-261619000,-275695000,-269392000,-1046678000,297169000
EffectOfExchangeRateOnCash,,,-129000,-218000,142000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-45282000,-29530000,-179390000,-738109000,496570000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,35699000,80981000,110511000,289901000,1028010000
RestrictedCashAndCashEquivalents,13637000,2902000,2577000,1079000,2433000
CashAndCashEquivalentsAtCarryingValue,22062000,78079000,107934000,288822000,1025577000
TransferOfOtherRealEstate,0,1321000,41872000,91546000,20657000
IssuanceOfRestrictedSecuritiesToEmployeesAndDirectors,21325000,25277000,21751000,21921000,20062000
FinancingReceivableAllowanceForCreditLosses,,,8999000,2124000,2163000
RightOfUseAssetObtainedInExchangeForFinanceLeaseLiability,,,36741000,33355000,0
InterestPaidNet,129457000,125654000,125808000,150034000,152393000
IncomeTaxesPaidNet,2646000,1495000,1282000,1466000,1507000
InterestPaidCapitalized,3468000,3566000,1286000,1567000,1233000
IncreaseDecreaseInAccruedCapitalExpenditures,,,896000,2880000,-12376000
PaymentsForProceedsFromDerivativeInstrumentInvestingActivities,-10403000,-10022000,3830000,0,
TransferToOtherRealEstate,115683000,44291000,41872000,91546000,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,0,0,36741000,33355000,
