key,2024,2023,2022,2021,2020
OperatingLeaseLeaseIncome,585167000,616139000,575601000,478882000,372176000
OtherIncome,57071000,45947000,47382000,18816000,9139000
InterestAndFeeIncomeLoansCommercialAndResidentialRealEstate,55830000,43582000,35048000,33982000,33346000
Revenues,698068000,705668000,658031000,531680000,414661000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,59146000,57478000,55985000,56739000,58587000
OtherExpenses,56877000,44774000,33809000,21741000,16474000
GeneralAndAdministrativeExpense,50096000,56442000,51579000,44362000,42596000
SeveranceCosts1,1836000,547000,0,0,2868000
TransactionCosts,798000,1554000,4533000,3402000,5436000
ProvisionForLoanLossesExpensed,12247000,878000,10816000,-21972000,30695000
AssetImpairmentCharges,51800000,67366000,27349000,2711000,85657000
DepreciationAndAmortization,165733000,168033000,163652000,163770000,170333000
CostsAndExpenses,398497000,397072000,347723000,270753000,412646000
GainLossOnDispositionOfAssets1,-17100000,-2197000,651000,17881000,50119000
OperatingIncomeLoss,315672000,306399000,310959000,278808000,52134000
WriteOffOfDeferredDebtIssuanceCost,337000,0,0,25451000,1632000
InterestExpense,130810000,124858000,131175000,148095000,157675000
IncomeLossFromEquityMethodInvestments,-8809000,-6768000,-1672000,-5059000,-4552000
EquityMethodInvestmentOtherThanTemporaryImpairment,28217000,0,647000,0,3247000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,147499000,174773000,177465000,100203000,-114972000
IncomeTaxExpenseBenefit,1433000,1727000,1236000,1597000,16756000
NetIncomeLoss,146066000,173046000,176229000,98606000,-131728000
DividendsPreferredStock,24144000,24145000,24141000,24134000,24136000
NetIncomeLossAvailableToCommonStockholdersBasic,121922000,148901000,152088000,74472000,-155864000
EarningsPerShareBasic,1.61,1.98,2.03,1.00,-2.05
EarningsPerShareDiluted,1.60,1.97,2.03,1.00,-2.05
WeightedAverageNumberOfSharesOutstandingBasic,75636000,75260000,74967000,74755000,75994000
WeightedAverageNumberOfDilutedSharesOutstanding,75999000,75715000,75043000,74756000,75994000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-23036000,6851000,-20474000,633000,3494000
UnrealizedGainLossOnDerivatives,15984000,-5452000,12416000,5857000,-10553000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,139014000,174445000,168171000,105096000,-138787000
