key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
RealEstateInvestmentPropertyNet,4629859000,39150000,,
LandAvailableForDevelopment,20168000,20168000,,
DevelopmentInProcess,36138000,131265000,,
OperatingLeaseRightOfUseAsset,183031000,186628000,,
NotesAndLoansReceivableNetCurrent,578900000,569800000,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,46127000,49754000,,
CashAndCashEquivalentsAtCarryingValue,59476000,78079000,96438000,107934000
RestrictedCashAndCashEquivalents,2929000,2902000,2599000,2577000
AccountsReceivableNet,3398000,7298000,,
OtherAssets,67979000,61307000,,
Assets,62145000,77877000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,84153000,94927000,,
OperatingLeaseLiability,223077000,226961000,,
DividendsPayableCurrent,22918000,25275000,,
PreferredDividendsPayableCurrentAndNoncurrent,6032000,6032000,,
DeferredRevenue,91829000,77440000,,
LongTermDebt,2820000000,2820000000,,
Liabilities,3245719000,3246730000,,
CommonStockSharesIssued,83553611,82964231,,
CommonStockValue,835000,829000,,
PreferredStockSharesIssued,6000000,6000000,,
PreferredStockValue,60000,60000,,
AdditionalPaidInCapital,3939242000,3924467000,,
TreasuryStockValue,285413000,274038000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1119000,3296000,,
AccumulatedDistributionsInExcessOfNetIncome,1207614000,1200547000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-1207614000,-1200547000,2531162000,2535719000
LiabilitiesAndStockholdersEquity,5694036000,5700885000,,
AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,150000000,150000000,,
