key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
OperatingLeaseLeaseIncome,0,,0,
OtherIncome,167000,,224000,
InterestAndFeeIncomeLoansCommercialAndResidentialRealEstate,0,,0,
Revenues,167000,,224000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,251000,,-22000,
OtherExpenses,0,,0,
GeneralAndAdministrativeExpense,224000,,224000,
SeveranceCosts1,900000,,0,
TransactionCosts,1000,,270000,
ProvisionForLoanLossesExpensed,2737000,,587000,
DepreciationAndAmortization,40469000,,41204000,
CostsAndExpenses,86847000,,79131000,
GainLossOnDispositionOfAssets1,17900000,,-560000,
OperatingIncomeLoss,98334000,,91705000,
InterestExpense,31651000,,31722000,
IncomeLossFromEquityMethodInvestments,0,,0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,63056000,,57998000,
IncomeTaxExpenseBenefit,347000,,341000,
NetIncomeLoss,62709000,,57657000,
DividendsPreferredStock,6032000,,6033000,
NetIncomeLossAvailableToCommonStockholdersBasic,56677000,,51624000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-6909000,,230000,
UnrealizedGainLossOnDerivatives,4732000,,-304000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,60532000,,57583000,
EarningsPerShareBasic,0.75,,0.69,
EarningsPerShareDiluted,0.75,,0.69,
WeightedAverageNumberOfSharesOutstandingBasic,75398000,,75084000,
WeightedAverageNumberOfDilutedSharesOutstanding,75705000,,75283000,
