key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
GainLossOnDispositionOfAssets,9384000,,17949000,
DeferredIncomeTaxExpenseBenefit,-530000,,-277000,
IncomeLossFromEquityMethodInvestments,-2647000,,-3627000,
EquityMethodInvestmentDividendsOrDistributions,11000,,0,
ProvisionForLoanLossesExpensed,-652000,,2737000,
DepreciationAndAmortization,41089000,,40469000,
AmortizationOfFinancingCosts,2206000,,2212000,
AmortizationOfAboveAndBelowMarketLeases,-81000,,-84000,
ShareBasedCompensation,3867000,,3692000,
Sharebasedcompensationincludedinseveranceexpense,0,,1598000,
IncreaseDecreaseinOperatingLeaseAssetsandLiabilitiesNet,-293000,,-287000,
IncreaseDecreaseInMortgageNotesAccruedInterestReceivable,1687000,,1418000,
IncreaseDecreaseInAccountsReceivable,3862000,,5819000,
IncreaseDecreaseInOtherOperatingAssets,1507000,,3878000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,3759000,,6202000,
IncreaseDecreaseInDeferredRevenue,-2017000,,6009000,
NetCashProvidedByUsedInOperatingActivities,99369000,,99543000,
PaymentsToAcquireProductiveAssets,14300000,,34531000,
ProceedsFromSaleOfProductiveAssets,70810000,,46188000,
PaymentsToAcquireMortgageNotesReceivable,298000,,9969000,
ProceedsFromSaleAndCollectionOfMortgageNotesReceivable,1000000,,198000,
ProceedsFromSaleAndCollectionOfNotesReceivable,138000,,136000,
PaymentsToDevelopRealEstateAssets,22873000,,40573000,
NetCashProvidedByUsedInInvestingActivities,42397000,,-38551000,
ProceedsFromIssuanceOfLongTermDebt,70000000,,0,
RepaymentsOfLongTermDebt,140000000,,0,
PaymentsOfFinancingCosts,55000,,53000,
ProceedsFromIssuanceOfCommonStock,232000,,185000,
PaymentsForRepurchaseOfCommonStock,9833000,,11375000,
PaymentsOfDividends,70834000,,68241000,
NetCashProvidedByUsedInFinancingActivities,-150490000,,-79484000,
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-49000,,-84000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-8773000,,-18576000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,26926000,35699000,62405000,80981000
CashAndCashEquivalentsAtCarryingValue,20572000,22062000,59476000,78079000
RestrictedCashAndCashEquivalents,6354000,13637000,2929000,2902000
TransferToOtherRealEstate,1583000,,111154000,
IssuanceOfRestrictedSecuritiesToEmployeesAndDirectors,25858000,,20096000,
InterestPaidNet,17731000,,17265000,
IncomeTaxesPaidNet,1231000,,617000,
InterestPaidCapitalized,1468000,,958000,
IncreaseDecreaseInAccruedCapitalExpenditures,-13524000,,-6762000,
ProfitLoss,65803000,,62709000,
