key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
OperatingLeaseLeaseIncome,0,,0,
OtherIncome,178000,,167000,
InterestAndFeeIncomeLoansCommercialAndResidentialRealEstate,0,,0,
Revenues,178000,,167000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,236000,,251000,
OtherExpenses,0,,0,
GeneralAndAdministrativeExpense,224000,,224000,
SeveranceCosts1,0,,900000,
TransactionCosts,567000,,1000,
ProvisionForLoanLossesExpensed,-652000,,2737000,
DepreciationAndAmortization,41089000,,40469000,
CostsAndExpenses,82810000,,86847000,
GainLossOnDispositionOfAssets1,9400000,,17949000,
OperatingIncomeLoss,101607000,,98334000,
InterestExpense,33021000,,31651000,
IncomeLossFromEquityMethodInvestments,-2647000,,-3627000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,65939000,,63056000,
IncomeTaxExpenseBenefit,136000,,347000,
NetIncomeLoss,65803000,,62709000,
DividendsPreferredStock,6032000,,6032000,
NetIncomeLossAvailableToCommonStockholdersBasic,59771000,,56677000,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,181000,,-6909000,
UnrealizedGainLossOnDerivatives,8000,,4732000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,65992000,,60532000,
EarningsPerShareBasic,0.79,,0.75,
EarningsPerShareDiluted,0.78,,0.75,
WeightedAverageNumberOfSharesOutstandingBasic,75804000,,75398000,
WeightedAverageNumberOfDilutedSharesOutstanding,76215000,,75705000,
