key,2024,2023,2022,2021,2020
Land,1795136000,1756971000,1646179000,1387198000,
InvestmentBuildingAndBuildingImprovements,3897284000,3711718000,3442957000,3020221000,
DevelopmentInProcess,153972000,245391000,253903000,239025000,
RealEstateInvestmentPropertyAccumulatedDepreciation,1085708000,1009335000,921480000,868296000,832393000
RealEstateInvestmentPropertyNet,4760684000,4704745000,313245000,277984000,
OperatingLeaseRightOfUseAsset,19866000,24211000,24580000,24927000,
CashAndCashEquivalentsAtCarryingValue,44512000,43844000,133244000,58591000,
RestrictedCashAndCashEquivalents,7170000,0,11874000,189000,
AccountsReceivableNet,7312000,10993000,7135000,5104000,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,51180000,44663000,8822000,36049000,
DeferredRentReceivablesNet,162883000,144033000,122918000,98727000,
FiniteLivedIntangibleAssetsNet,,,24090000,21316000,
PrepaidExpenseAndOtherAssets,203188000,203276000,200100000,156047000,
Assets,5261426000,5175765000,4954322000,4179098000,
SecuredDebt,9643000,9978000,10299000,79674000,
UnsecuredDebt,995184000,994463000,993742000,993021000,
OtherLongTermDebt,922476000,920863000,919260000,458325000,
LineOfCredit,282000000,299000000,143000000,79000000,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,132740000,143429000,178879000,153096000,
OperatingLeaseLiability,17608000,21992000,22266000,22592000,
OffMarketLeaseUnfavorable,,,15152000,9252000,
CustomerAdvancesAndDeposits,104558000,106734000,100166000,98588000,
DividendsPayableCurrentAndNoncurrent,51189000,44201000,41259000,37178000,33703000
Liabilities,2515398000,2540660000,2424023000,1930726000,
CommonStockValue,1323000,1323000,1321000,1317000,
GeneralPartnersCapitalAccount,2598962000,2505150000,2395601000,2175549000,
LimitedPartnersCapitalAccount,127870000,109003000,95015000,81435000,
AdditionalPaidInCapital,2425253000,2411673000,2401334000,2376026000,
RetainedEarningsAccumulatedDeficit,219095000,127707000,23131000,,
AccumulatedDistributionsInExcessOfNetIncome,,,,178293000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,19936000,22272000,33412000,-4238000,
PartnersCapital,2747317000,2636995000,2524802000,2252653000,
StockholdersEquity,2665607000,2562975000,2459198000,2194812000,
MinorityInterest,80421000,72130000,71101000,53560000,
PartnersCapitalAttributableToNoncontrollingInterest,7940000,7393000,14778000,4954000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2746028000,2635105000,2530299000,2248372000,1290000
PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,2755257000,2644388000,2539580000,2257607000,1898635000
LiabilitiesAndStockholdersEquity,5261426000,5175765000,4954322000,4179098000,
RealEstateHeldforsale,4631000,0,,,
