key,2024,2023,2022,2021,2020
ProfitLoss,295988000,285837000,381612000,277171000,200169000
Depreciation,139202000,130427000,119477000,107876000,102533000
AmortizationOfFinancingCosts,3646000,3626000,3187000,3423000,3428000
OtherDepreciationAndAmortization,37091000,34088000,32845000,31181000,35231000
IncomeLossFromEquityMethodInvestments,4295000,32207000,114942000,-161000,4200000
EquityMethodInvestmentDividendsOrDistributions,2945000,7400000,118034000,0,4279000
GainLossOnSaleOfProperties,111970000,95650000,128268000,150310000,86751000
UnusualOrInfrequentItemNetGainLoss,0,0,-1495000,0,-6476000
StraightLineRentAdjustmentNet,20801000,21925000,25962000,16081000,8973000
IncreaseDecreaseInOperatingAssets,710000,2363000,4852000,472000,-3861000
IncreaseDecreaseInOperatingLiabilities,11392000,-4418000,31307000,13946000,-2671000
NetCashProvidedByUsedInOperatingActivities,352488000,304815000,410943000,266895000,240430000
PaymentsToAcquireRealEstate,73861000,131057000,305326000,352922000,220223000
PaymentsForLeasingCostsCommissionsAndTenantImprovements,215565000,361927000,522368000,314084000,198496000
ProceedsFromSaleOfPropertyHeldForSale,158924000,120411000,175409000,234726000,203864000
PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,150000,-3877000,450000,4461000,14950000
ProceedsFromInsuranceSettlementInvestingActivities,0,0,1495000,0,6476000
PaymentsToAcquireInterestInJointVenture,5729000,12349000,5616000,1550000,42744000
ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,0,0,29356000,21407000,19938000
PaymentsForProceedsFromOtherInvestingActivities,-4761000,-2739000,1608000,-61000,5603000
NetCashProvidedByUsedInInvestingActivities,-131620000,-378306000,-629108000,-416823000,-251738000
PaymentOfFinancingAndStockIssuanceCosts,0,61000,5265000,6452000,3363000
ProceedsFromIssuanceOfCommonStock,0,0,12823000,145760000,78718000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,2070000,2510000,2942000,5126000,5944000
PaymentsOfDividendsCommonStock,193482000,169368000,155333000,139710000,127338000
ProceedsFromMinorityShareholders,0,0,103000,28000,4321000
PaymentsToMinorityShareholders,143000,11523000,4418000,0,0
RepaymentsOfSecuredDebt,335000,321000,69465000,64450000,30146000
ProceedsFromIssuanceOfUnsecuredDebt,,,0,0,300000000
ProceedsFromUnsecuredTermLoans,0,0,465000000,0,0
ProceedsFromLongTermLinesOfCredit,321000000,374000000,720000000,289000000,247000000
RepaymentsOfLongTermLinesOfCredit,338000000,218000000,656000000,210000000,405000000
NetCashProvidedByUsedInFinancingActivities,-213030000,-27783000,304503000,9050000,58248000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,7838000,-101274000,86338000,-140878000,46940000
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,51682000,43844000,145118000,58780000,199658000
InterestPaidNet,82871000,72881000,46445000,44184000,48849000
InterestPaidCapitalized,8283000,13791000,16298000,12140000,6847000
IncomeTaxesPaidNet,5299000,27754000,3760000,3366000,1573000
OperatingLeasePayments,3539000,3348000,3444000,3261000,2821000
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,658000,941000,949000,819000,1341000
DividendsPayableCurrentAndNoncurrent,51189000,44201000,41259000,37178000,33703000
StockIssuedDuringPeriodValueConversionOfUnits,0,0,1000,1000,2000
EscrowDepositDisbursementsRelatedToPropertyAcquisition1,,0,0,3611000,0
LiabilitiesAssumed1,682000,528000,2115000,1990000,18579000
CapitalExpendituresIncurredButNotYetPaid,46257000,55876000,86456000,82526000,34008000
TenantImprovementsFundedByTenant,1069000,3878000,610000,28559000,0
WriteOffOfFullyDepreciatedAssets,33909000,33529000,35716000,36799000,45302000
