key,2024,2023,2022,2021,2020
OperatingLeaseLeaseIncome,660967000,602294000,532237000,473236000,437543000
JointVentureFees,2545000,5159000,1322000,321000,590000
OtherOperatingIncome,6129000,6574000,6370000,2733000,9895000
Revenues,669641000,614027000,539929000,476290000,448028000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,182821000,165655000,143663000,131300000,119195000
GeneralAndAdministrativeExpense,40935000,37121000,33972000,34610000,32848000
JointVentureDevelopmentServicesExpense,1529000,3667000,909000,0,0
DepreciationAndAmortization,171939000,162951000,147420000,130953000,129638000
CostsAndExpenses,397224000,369394000,325964000,296863000,281681000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,111970000,95650000,128268000,150310000,86751000
InterestExpenseDebtExcludingAmortization,82973000,74335000,49013000,44103000,51293000
AmortizationOfFinancingCosts,3646000,3626000,3187000,3423000,3428000
NonoperatingIncomeExpense,25351000,17689000,76068000,102784000,32030000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,297768000,262322000,290033000,282211000,198377000
IncomeLossFromEquityMethodInvestments,4295000,32207000,114942000,-161000,4200000
IncomeTaxExpenseBenefit,6075000,8692000,23363000,4879000,2408000
ProfitLoss,295988000,285837000,381612000,277171000,200169000
NetIncomeLossAttributableToNoncontrollingInterest,8434000,11021000,22478000,6174000,4180000
NetIncomeLoss,287554000,274816000,359134000,270997000,195989000
EarningsPerShareBasic,2.17,2.08,2.72,2.09,1.53
EarningsPerShareDiluted,2.17,2.07,2.72,2.09,1.53
WeightedAverageNumberOfSharesOutstandingBasic,132369000,132264000,132024000,129688000,127711000
WeightedAverageNumberOfDilutedSharesOutstanding,132416000,132341000,132103000,129775000,127904000
ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,211000,232000,348000,299000,
NetIncomeLossAvailableToCommonStockholdersBasic,287343000,274584000,358786000,270698000,
