key,2024-03-31,2023-12-31,2023-03-31,2022-12-31
OperatingLeaseLeaseIncome,1624000,,146606000,
JointVentureFees,669000,,1073000,
OtherOperatingIncome,1868000,,1744000,
Revenues,162272000,,149423000,
DirectCostsOfLeasedAndRentedPropertyOrEquipment,47014000,,42182000,
GeneralAndAdministrativeExpense,11781000,,9354000,
JointVentureDevelopmentServicesExpense,426000,,784000,
DepreciationAndAmortization,41819000,,39772000,
CostsAndExpenses,101040000,,92092000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,30852000,,0,
InterestExpenseDebtExcludingAmortization,20897000,,16119000,
AmortizationOfFinancingCosts,912000,,904000,
NonoperatingIncomeExpense,-6047000,,-3999000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,70275000,,40308000,
IncomeLossFromEquityMethodInvestments,176000,,3361000,
IncomeTaxExpenseBenefit,1179000,,7167000,
ProfitLoss,223000,,3381000,
NetIncomeLossAttributableToNoncontrollingInterest,223000,,3381000,
NetIncomeLoss,70275000,,57394000,
ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,130000,,134000,
NetIncomeLossAvailableToCommonStockholdersBasic,70145000,,57260000,
EarningsPerShareBasic,0.52,,0.43,
EarningsPerShareDiluted,0.52,,0.42,
WeightedAverageNumberOfSharesOutstandingBasic,135068000,,134686000,
WeightedAverageNumberOfDilutedSharesOutstanding,135387000,,135231000,
