key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
Land,34365000,1795136000,,
InvestmentBuildingAndBuildingImprovements,88136000,3897284000,,
DevelopmentInProcess,199032000,153972000,,
RealEstateInvestmentPropertyAccumulatedDepreciation,1116322000,1085708000,,
RealEstateInvestmentPropertyNet,4912575000,4760684000,,
RealEstateHeldforsale,426000,4631000,,
OperatingLeaseRightOfUseAsset,12795000,12818000,,
CashAndCashEquivalentsAtCarryingValue,2022000,2463000,,
RestrictedCashAndCashEquivalents,1672000,7170000,,
AccountsReceivableNet,8942000,7312000,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,82152000,51180000,,
DeferredRentReceivablesNet,15748000,16060000,,
PrepaidExpenseAndOtherAssets,12827000,11937000,,
Assets,337739000,339866000,,
SecuredDebt,9557000,9643000,,
UnsecuredDebt,995364000,995184000,,
OtherLongTermDebt,921633000,922476000,,
LineOfCredit,454000000,282000000,,
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,10217000,8625000,,
OperatingLeaseLiability,10177000,10186000,,
CustomerAdvancesAndDeposits,7665000,8412000,,
DividendsPayableCurrentAndNoncurrent,61467000,51189000,50695000,
Liabilities,2704832000,2515398000,,
CommonStockValue,1324000,1323000,,
GeneralPartnersCapitalAccount,2588617000,2598962000,,
LimitedPartnersCapitalAccount,139980000,127870000,,
AdditionalPaidInCapital,2429120000,2425253000,,
RetainedEarningsAccumulatedDeficit,208434000,219095000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,12576000,20485000,,
PartnersCapital,309680000,312643000,,
StockholdersEquity,2651077000,2665607000,,
MinorityInterest,92145000,80421000,,
PartnersCapitalAttributableToNoncontrollingInterest,11259000,7940000,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-377000,-549000,2673268000,2635105000
PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,11259000,7940000,2682541000,2644388000
LiabilitiesAndStockholdersEquity,337739000,339866000,,
