key,2025-03-31,2024-12-31,2024-03-31,2023-12-31
ProfitLoss,3338000,,223000,
Depreciation,35345000,,33962000,
AmortizationOfFinancingCosts,963000,,912000,
OtherDepreciationAndAmortization,18547000,,12870000,
IncomeLossFromEquityMethodInvestments,3305000,,176000,
EquityMethodInvestmentDividendsOrDistributions,0,,753000,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,6844000,,30852000,
StraightLineRentAdjustmentNet,6063000,,4165000,
IncreaseDecreaseInOperatingAssets,8974000,,19364000,
IncreaseDecreaseInOperatingLiabilities,6204000,,-703000,
NetCashProvidedByUsedInOperatingActivities,88585000,,62509000,
PaymentsToAcquireRealEstate,161791000,,0,
PaymentsForLeasingCostsCommissionsAndTenantImprovements,60190000,,68376000,
ProceedsFromSaleOfPropertyHeldForSale,11464000,,47787000,
PaymentsToAcquireInterestInJointVenture,2491000,,2614000,
PaymentsForProceedsFromOtherInvestingActivities,340000,,-4172000,
NetCashProvidedByUsedInInvestingActivities,-213348000,,-19031000,
PaymentOfFinancingAndStockIssuanceCosts,10002000,,0,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,1315000,,2028000,
PaymentsOfDividendsCommonStock,50087000,,43220000,
ProceedsFromMinorityShareholders,6000,,5000,
RepaymentsOfSecuredDebt,86000,,82000,
ProceedsFromLongTermLinesOfCredit,261000000,,102000000,
RepaymentsOfLongTermLinesOfCredit,89000000,,95000000,
PaymentsToMinorityShareholders,25000,,113000,
NetCashProvidedByUsedInFinancingActivities,110491000,,-38438000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,-14272000,,5040000,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,37410000,51682000,48884000,43844000
InterestPaidCapitalized,2883000,,2637000,
OperatingLeasePayments,706000,,868000,
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,0,,200000,
DividendsPayableCurrentAndNoncurrent,61467000,51189000,50695000,
StockIssuedDuringPeriodValueConversionOfUnits,0,,0,
LiabilitiesAssumed1,563000,,0,
CapitalExpendituresIncurredButNotYetPaid,51225000,,34731000,
WriteOffOfFullyDepreciatedAssets,11365000,,10940000,
