Metric,2024,2023,2022,2021,2020,YTD 2024,YTD 2025,LTM 2025
Revenue,241935000.0,227911000.0,209380000.0,169151000.0,294118000.0,4642000.0,4486000.0,241779000.0
% YoY Growth,6.153279130888812,8.850415512465373,23.782892208736573,-42.48872901352519,,,,
Cost of Goods Sold,97562000.0,87938000.0,81437000.0,66915000.0,69127000.0,23937000.0,24240000.0,97865000.0
Gross Profit,144373000.0,139973000.0,127943000.0,102236000.0,224991000.0,-19295000.0,-19754000.0,143914000.0
% Margin,,,,,,-415.66135286514435,-440.3477485510477,59.522952779190916
Operating Expenses,120904000.0,156697000.0,119980000.0,100194000.0,143981000.0,31139000.0,32468000.0,122233000.0
Adjustments,105427000.0,140512000.0,98845000.0,72807000.0,130664000.0,29952000.0,26665000.0,102140000.0
Adjusted EBITDA,128896000.0,117449000.0,97122000.0,68214000.0,152883000.0,35799000.0,31450000.0,124547000.0
% Margin,,,,,,771.1977595863851,701.0699955416852,59.522952779190916
Interest Expense,37835000.0,30429000.0,24940000.0,34063000.0,37305000.0,9494000.0,9460000.0,37801000.0
Taxes,,,,,,,,
Change in Working Capital,,,,,,-387000.0,-4669000.0,
Other,1410000.0,569000.0,712000.0,4109000.0,0.0,1410000.0,0.0,0.0
Capital Expenditures,47602000.0,38626000.0,38256000.0,32459000.0,58317000.0,6313000.0,5559000.0,46848000.0
Free Cash Flow,47641000.0,46043000.0,34955000.0,56697000.0,54674000.0,7594000.0,10477000.0,50524000.0
Acq. / Disp.,0.0,-107595000.0,-204433000.0,744035000.0,152889000.0,5272000.0,0.0,-5272000.0
Change in Debt,0.0,0.0,0.0,0.0,0.0,,,
Equity / Dividends,-63636000.0,-63838000.0,-58333000.0,-88984000.0,-96959000.0,15911000.0,15898000.0,-63649000.0
Other,6796000.0,2924000.0,3334000.0,7114000.0,5080000.0,180000.0,236000.0,6852000.0
Change in Cash,0.0,0.0,0.0,0.0,0.0,,,
Cash - End of Period,8609000.0,8538000.0,9852000.0,234220000.0,8303000.0,,,
Total Debt,698953000.0,679345000.0,552359000.0,496946000.0,987370000.0,682539000.0,705061000.0,705061000.0
Book Equity,1081797000.0,1154060000.0,1263488000.0,1316755000.0,1320787000.0,1136116000.0,1062922000.0,1062922000.0
EBITDA / Int. Exp.,3.406792652306066,3.8597719280949097,3.8942261427425824,2.002583448316355,4.098190591073583,3.770697282494207,3.324524312896406,3.294807015687416
Total Debt / EBITDA,5.422612028301887,5.78417015044828,5.687269619653631,7.285102764828334,6.458337421426843,19.06586776166932,22.418473767885533,5.661003476599196
Total Debt / Book Capital,39.25048434648322,37.0537333540598,30.418807311408948,27.399554832907956,42.77741938698277,37.529877849289726,39.8793992928665,39.8793992928665
Total Debt + Leases / EBITDA,5.422612028301887,5.78417015044828,5.687269619653631,7.285102764828334,6.458337421426843,19.06586776166932,22.418473767885533,5.661003476599196
Total Debt + Leases / Book Capital,39.25048434648322,37.0537333540598,30.418807311408948,27.399554832907956,42.77741938698277,37.529877849289726,39.8793992928665,39.8793992928665
EBITDAR / Interest + Rent,,,,,,,,3.294807015687416
